"Family","Genus","Species","Taxon","Common Name","Native Status","effectm partm of this plant.","Lifeform","Duration","July High Temp","Dec Low Temp","Temp Range","Lower Elevation","Upper Elevation","Start Bloom Month","End Bloom Month","Calrecnum"
"PINACEAE","Abies","concolor","Abies concolor","White fir","native","","Tree","Perennial","94","14","65","55","2720","5","6","3"
"NYCTAGINACEAE","Abronia","latifolia","Abronia latifolia","Chaparral sand verbena","native","","Perennial herb","Perennial","71","40","30","0","250","3","10","13"
"NYCTAGINACEAE","Abronia","maritima","Abronia maritima","Sticky sand verbena","rare","","Perennial herb","Perennial","82","40","38","0","130","2","12","14"
"NYCTAGINACEAE","Abronia","pogonantha","Abronia pogonantha","Mohave sand verbena","native","","Annual herb","Annual","99","30","68","140","2060","4","7","16"
"NYCTAGINACEAE","Abronia","umbellata","Abronia umbellata","Beach sand verbena","native","","Perennial herb","Perennial","77","40","32","0","410","1","12","18"
"NYCTAGINACEAE","Abronia","umbellata","Abronia umbellata var. umbellata","Beach sand verbena","native","","Perennial herb","Perennial","76","44","30","0","80","1","12","10748"
"MALVACEAE","Abutilon","theophrasti","Abutilon theophrasti","Velvet leaf","non-native","","Annual herb","Annual","96","30","62","0","1060","7","9","26"
"FABACEAE","Acacia","baileyana","Acacia baileyana","Cootamundra wattle","non-native invasive","","Tree, Shrub","Perennial","91","38","50","0","1590","2","4","27"
"FABACEAE","Acacia","dealbata","Acacia dealbata","Silver wattle","non-native invasive","","Tree, Shrub","Perennial","95","36","59","0","1310","2","4","29"
"FABACEAE","Acacia","decurrens","Acacia decurrens","Green wattle","non-native","","Tree","Perennial","85","38","45","0","1320","2","5","30"
"FABACEAE","Acacia","longifolia","Acacia longifolia","Golden wattle","non-native invasive","","Tree","Perennial","88","40","45","0","1080","6","8","34"
"FABACEAE","Acacia","mearnsii","Acacia mearnsii","Black wattle","non-native","","Tree, Shrub","Perennial","91","38","51","25","1450","2","3","35"
"FABACEAE","Acacia","melanoxylon","Acacia melanoxylon","Blackwood acacia","non-native invasive","","Tree","Perennial","93","38","55","0","810","2","3","36"
"FABACEAE","Acacia","paradoxa","Acacia paradoxa","Kangaroo thorn","non-native invasive","","Shrub","Perennial","77","42","34","0","130","1","3","37"
"FABACEAE","Acacia","pycnantha","Acacia pycnantha","Golden wattle","non-native invasive","","Tree, Shrub","Perennial","85","38","44","0","360","2","2","38"
"FABACEAE","Acacia","redolens","Acacia redolens","Bank catclaw","non-native","","Tree, Shrub","Perennial","92","40","52","0","460","2","5","8999"
"FABACEAE","Acacia","retinodes","Acacia retinodes","Ever blooming acacia","non-native","","Tree","Perennial","83","42","40","0","270","2","3","39"
"FABACEAE","Acacia","saligna","Acacia saligna","Orange wattle","non-native invasive","","Tree, Shrub","Perennial","84","42","38","0","1290","3","5","9641"
"ROSACEAE","Acaena","californica","Acaena californica","California sheepburr","native","","Perennial herb","Perennial","84","38","42","5","480","3","5","14543"
"ROSACEAE","Acaena","novae-zelandiae","Acaena novae-zelandiae","Biddy biddy","non-native invasive","","Shrub (stem succulent)","Perennial","77","38","38","5","1050","3","5","41"
"LAMIACEAE","Acanthomintha","obovata","Acanthomintha obovata","Obvate-leafed thorn mint","native","","Annual herb","Annual","95","24","65","550","2370","4","7","51"
"LAMIACEAE","Acanthomintha","obovata","Acanthomintha obovata ssp. cordata","Heart leaved thorn mint","rare","","Annual herb","Annual","91","24","65","1400","2220","4","7","52"
"POLYGONACEAE","Acanthoscyphus","parishii","Acanthoscyphus parishii","Parish's oxytheca","native","","Annual herb","Annual","86","24","55","1650","2630","6","8","10749"
"POLYGONACEAE","Acanthoscyphus","parishii","Acanthoscyphus parishii var. abramsii","Abrams' oxytheca","rare","","Annual herb","Annual","84","26","58","2110","2690","6","8","10471"
"POTTIACEAE","Acaulon","rufescens","Acaulon rufescens","","native","","Moss","Perennial","","","","","","","","13681"
"SAPINDACEAE","Acer","macrophyllum","Acer macrophyllum","Bigleaf maple","native","","Tree","Perennial","96","24","61","0","2100","4","5","59"
"SAPINDACEAE","Acer","negundo","Acer negundo","Boxelder","native","","Tree","Perennial","96","30","59","0","2080","2","3","9644"
"ASTERACEAE","Achillea","millefolium","Achillea millefolium","Yarrow","native","Do not eat any part of this plant.","Perennial herb","Perennial","96","10","65","-1","3430","4","8","61"
"ASTERACEAE","Achyrachaena","mollis","Achyrachaena mollis","Blow wives","native","","Annual herb","Annual","97","28","62","0","1860","4","5","85"
"FABACEAE","Acmispon","americanus","Acmispon americanus","American bird's foot trefoil","native","","Annual herb","Annual","96","18","64","0","2570","4","7","12131"
"FABACEAE","Acmispon","americanus","Acmispon americanus var. americanus","Spanish lotus","native","","Annual herb","Annual","96","18","63","0","2570","4","7","11269"
"FABACEAE","Acmispon","argophyllus","Acmispon argophyllus","Silver birds foot trefoil","native","","Perennial herb","Perennial","99","24","61","0","2480","4","6","11270"
"FABACEAE","Acmispon","argophyllus","Acmispon argophyllus var. argenteus","Channel islands silver lotus","native","","Perennial herb","Perennial","76","48","26","0","460","4","6","11271"
"FABACEAE","Acmispon","argophyllus","Acmispon argophyllus var. argophyllus","Southern california silver lotus","native","","Perennial herb","Perennial","97","26","61","230","2380","4","6","11272"
"FABACEAE","Acmispon","argophyllus","Acmispon argophyllus var. niveus","Santa cruz island bird's-foot trefoil","rare","","Perennial herb","Perennial","79","42","36","0","560","3","7","11146"
"FABACEAE","Acmispon","brachycarpus","Acmispon brachycarpus","Short podded lotus","native","","Annual herb","Annual","97","22","62","0","2410","3","6","11276"
"FABACEAE","Acmispon","decumbens","Acmispon decumbens","Sierra lotus","native","","Perennial herb","Perennial","94","18","62","440","2580","5","8","14619"
"FABACEAE","Acmispon","decumbens","Acmispon decumbens var. decumbens","Sierra Nevada lotus","native","","Perennial herb","Perennial","97","22","64","960","2450","5","8","14621"
"FABACEAE","Acmispon","dendroideus","Acmispon dendroideus","Island broom","native","","Shrub","Perennial","81","44","32","0","390","1","8","11278"
"FABACEAE","Acmispon","dendroideus","Acmispon dendroideus var. dendroideus","Island broom","rare","","Shrub","Perennial","81","48","31","0","270","1","8","11149"
"FABACEAE","Acmispon","dendroideus","Acmispon dendroideus var. traskiae","San clemente island lotus","rare","","Shrub","Perennial","83","50","33","260","320","2","8","11150"
"FABACEAE","Acmispon","dendroideus","Acmispon dendroideus var. veatchii","San miguel island deerweed","rare","","Shrub","Perennial","","","","","","3","6","11151"
"FABACEAE","Acmispon","glaber","Acmispon glaber","Deerweed","native","","Perennial herb","Perennial","100","28","63","0","2380","3","8","11280"
"FABACEAE","Acmispon","glaber","Acmispon glaber var. glaber","Deerweed","native","","Perennial herb","Perennial","94","32","59","0","2350","3","7","11282"
"FABACEAE","Acmispon","grandiflorus","Acmispon grandiflorus","Large leaved lotus","native","","Perennial herb","Perennial","94","28","60","0","2280","4","7","11283"
"FABACEAE","Acmispon","grandiflorus","Acmispon grandiflorus var. grandiflorus","Chaparral lotus","native","","Perennial herb","Perennial","92","28","58","15","2280","4","7","11284"
"FABACEAE","Acmispon","junceus","Acmispon junceus","Rush lotus","native","","Perennial herb","Perennial","84","38","46","0","1680","4","7","11289"
"FABACEAE","Acmispon","junceus","Acmispon junceus var. biolettii","Bioletti's rush lotus","native","","Perennial herb","Perennial","80","40","40","35","540","4","7","11290"
"FABACEAE","Acmispon","junceus","Acmispon junceus var. junceus","Rush lotus","native","","Perennial herb","Perennial","82","38","43","0","610","4","7","11291"
"FABACEAE","Acmispon","maritimus","Acmispon maritimus","Coastal lotus","native","","Annual herb","Annual","103","32","63","0","2280","3","6","11292"
"FABACEAE","Acmispon","maritimus","Acmispon maritimus var. maritimus","Coastal lotus","native","","Annual herb","Annual","95","32","60","0","2280","3","6","11294"
"FABACEAE","Acmispon","micranthus","Acmispon micranthus","Small flowered lotus","native","","Annual herb","Annual","94","32","61","5","2280","3","6","11295"
"FABACEAE","Acmispon","parviflorus","Acmispon parviflorus","Hill lotus","native","","Annual herb","Annual","95","26","59","0","2350","3","6","11299"
"FABACEAE","Acmispon","procumbens","Acmispon procumbens","Silky california broom","native","","Perennial herb, Shrub","Perennial","94","22","62","120","2530","4","6","11300"
"FABACEAE","Acmispon","procumbens","Acmispon procumbens var. procumbens","Silky california broom","native","","Perennial herb, Shrub","Perennial","95","28","63","260","2530","4","6","11302"
"FABACEAE","Acmispon","strigosus","Acmispon strigosus","Strigose lotus","native","","Annual herb","Annual","104","24","64","0","2310","2","6","11305"
"FABACEAE","Acmispon","tomentosus","Acmispon tomentosus","","native","","Perennial herb","Perennial","91","32","53","0","2280","3","10","14622"
"FABACEAE","Acmispon","wrangelianus","Acmispon wrangelianus","Chilean trefoil","native","","Annual herb","Annual","96","22","61","0","2310","3","4","11306"
"ASTERACEAE","Acourtia","microcephala","Acourtia microcephala","Sacapellote","native","","Perennial herb","Perennial","95","30","60","0","2080","6","8","91"
"ROSACEAE","Adenostoma","fasciculatum","Adenostoma fasciculatum","Chamise","native","","Tree, Shrub","Perennial","96","30","63","0","2440","6","8","97"
"ROSACEAE","Adenostoma","fasciculatum","Adenostoma fasciculatum var. fasciculatum","Chamise","native","","Tree, Shrub","Perennial","94","30","61","15","2170","6","8","9648"
"ROSACEAE","Adenostoma","fasciculatum","Adenostoma fasciculatum var. prostratum","Prostrate chamise","native","","Tree, Shrub","Perennial","81","46","31","","","6","8","11309"
"ROSACEAE","Adenostoma","sparsifolium","Adenostoma sparsifolium","Red shanks","native","","Tree","Perennial","96","30","60","60","2120","7","9","99"
"PTERIDACEAE","Adiantum","aleuticum","Adiantum aleuticum","Five finger fern","native","","Fern","Perennial","92","24","60","0","2240","","","100"
"PTERIDACEAE","Adiantum","capillus-veneris","Adiantum capillus-veneris","Venus hair","native","","Fern","Perennial","103","28","63","0","1970","6","8","101"
