"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Agave","americana","Agave americana","2023-05-12","-119.69508","34.43922","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Agave","americana","Agave americana","2023-04-25","-119.68647","34.44775","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Agave","americana","Agave americana ssp. americana","2022-04-17","-119.687611","34.452956","","low","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Agave","americana","Agave americana","2021-07-29","-119.850606","34.41493","12","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Agave","americana","Agave americana","2018-04-14","-119.859203","34.421013","4","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Agave","americana","Agave americana","2017-08-20","-120.548328","34.677326","9","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Agave","americana","Agave americana","2017-08-19","-120.441828","34.659784","28","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Agave","americana","Agave americana","2017-08-18","-120.45747","34.687311","98","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Agave","americana","Agave americana","1999-06-19","-119.844","34.0403","659","low","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Agave","americana","Agave americana","1977-11-26","-119.7008","34.0328","","low","Santa Barbara BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Agave","americana","Agave americana","2007-05-12","-119.709434","34.459012","232","medium","BioBlitz Santa Barbara, Santa Barbara Botanic Garden","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Agave","americana","Agave americana","2004-01-01","-120.441055","34.699636","119","low","Elihu Gevirtz http://www.elihugevirtz.com/","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
