"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Ailanthus","altissima","Ailanthus altissima","2023-09-12","-120.43975","34.904611","","high","Santa Barbara County Agriculture Commissioner","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ailanthus","altissima","Ailanthus altissima","2021-08-29","-120.189856","34.567816","162","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ailanthus","altissima","Ailanthus altissima","2021-07-28","-119.65299","34.941586","673","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ailanthus","altissima","Ailanthus altissima","2020-08-10","-119.873337","34.418931","2","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ailanthus","altissima","Ailanthus altissima","2020-07-15","-120.189766","34.567828","163","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ailanthus","altissima","Ailanthus altissima","2019-09-22","-120.136054","34.594025","147","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ailanthus","altissima","Ailanthus altissima","2017-11-17","-120.11993","34.66805","254","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ailanthus","altissima","Ailanthus altissima","2017-10-10","-120.408182","34.58524","83","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ailanthus","altissima","Ailanthus altissima","2017-10-10","-120.228656","34.507917","107","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ailanthus","altissima","Ailanthus altissima","2017-09-26","-120.277151","34.860845","133","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ailanthus","altissima","Ailanthus altissima","2017-09-26","-120.265177","34.854405","143","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ailanthus","altissima","Ailanthus altissima","2017-09-26","-120.232798","34.82513","184","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ailanthus","altissima","Ailanthus altissima","2017-09-26","-120.179594","34.661081","184","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ailanthus","altissima","Ailanthus altissima","2017-09-10","-120.44171","34.800076","141","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ailanthus","altissima","Ailanthus altissima","2017-09-10","-120.451398","34.842787","130","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ailanthus","altissima","Ailanthus altissima","2008-09-15","-120.486152","34.665076","16","high","County of Santa Barbara Agricultural Commissioner's Office","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ailanthus","altissima","Ailanthus altissima","2008-09-15","-120.495744","34.669927","20","high","County of Santa Barbara Agricultural Commissioner's Office","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ailanthus","altissima","Ailanthus altissima","2008-09-15","-120.509253","34.674743","12","high","County of Santa Barbara Agricultural Commissioner's Office","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ailanthus","altissima","Ailanthus altissima","2008-09-15","-120.490946","34.671929","17","high","County of Santa Barbara Agricultural Commissioner's Office","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ailanthus","altissima","Ailanthus altissima","2012-01-01","-120.0625","34.6875","407","low","calweedmapper.cal-ipc.org","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ailanthus","altissima","Ailanthus altissima","2012-01-01","-120.0625","35.0625","822","low","calweedmapper.cal-ipc.org","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ailanthus","altissima","Ailanthus altissima","2012-01-01","-119.6875","34.4375","164","low","calweedmapper.cal-ipc.org","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
