"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Artemisia","biennis","Artemisia biennis","2019-09-05","-120.411643","34.907665","109","low","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","biennis","Artemisia biennis","2017-09-05","-120.593136","34.686686","14","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","biennis","Artemisia biennis","2017-08-16","-120.472115","34.668422","23","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","biennis","Artemisia biennis","2017-08-14","-120.48087","34.663323","24","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","biennis","Artemisia biennis","1985-01-01","-119.5","34.41667","87","low","G.F. Hrusa checklists","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","biennis","Artemisia biennis","1987-07-29","-120.6007","34.8425","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Artemisia","biennis","Artemisia biennis","1987-10-30","-120.490181","34.920891","","medium","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Artemisia","biennis","Artemisia biennis","1984-10-18","-120.593004","34.691494","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Artemisia","biennis","Artemisia biennis","1984-10-12","-120.593004","34.691494","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Artemisia","biennis","Artemisia biennis","1984-09-25","-120.593004","34.691494","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Artemisia","biennis","Artemisia biennis","1995-07-14","-120.5245","34.6827","","low","Cal Poly","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Artemisia","biennis","Artemisia biennis","1991-10-26","-120.4674","34.771","","low","Cal Poly","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Artemisia","biennis","Artemisia biennis","1981-04-22","-120.631639","34.957722","9","low","Pacific Union","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Artemisia","biennis","Artemisia biennis","1981-12-15","-119.844694","34.422023","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Artemisia","biennis","Artemisia biennis","1980-12-02","-119.855263","34.430222","","medium","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Artemisia","biennis","Artemisia biennis","1982-06-08","-119.843979","34.420979","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Artemisia","biennis","Artemisia biennis","1981-09-02","-119.795","34.422","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Artemisia","biennis","Artemisia biennis","1981-09-23","-119.795","34.422","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Artemisia","biennis","Artemisia biennis","2001-10-23","-119.852","34.4265","1","low","Santa Barbara BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Artemisia","biennis","Artemisia biennis","2009-01-01","-119.534854","34.399615","5","low","UC Natural Reserve System","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
