"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Euphorbia","terracina","Euphorbia terracina","2024-07-02","-120.361533","34.051722","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","terracina","Euphorbia terracina","2023-05-19","-119.739674","34.406588","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","terracina","Euphorbia terracina","2023-05-08","-119.73771","34.41196","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","terracina","Euphorbia terracina","2023-04-28","-119.6758","34.44563","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","terracina","Euphorbia terracina","2021-04-05","-119.675622","34.445157","126","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","terracina","Euphorbia terracina","2021-03-17","-120.02079","34.465649","36","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","terracina","Euphorbia terracina","2020-03-19","-119.80313","34.4236","23","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","terracina","Euphorbia terracina","2019-03-25","-119.705987","34.47005","384","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","terracina","Euphorbia terracina","2015-06-04","-120.020313","34.465795","70","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","terracina","Euphorbia terracina","2013-04-16","-119.711494","34.45466","227","high","County of Santa Barbara, Agricultural Commission","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","terracina","Euphorbia terracina","2013-04-12","-119.730806","34.403829","45","high","County of Santa Barbara, Agricultural Commission","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","terracina","Euphorbia terracina","2012-11-15","-119.655982","34.442698","148","high","CALIFORNIA NATIVE PLANT SOCIETY","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","terracina","Euphorbia terracina","2012-04-24","-120.253107","34.470147","33","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","terracina","Euphorbia terracina","2012-01-01","-120.5625","34.5625","102","low","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","terracina","Euphorbia terracina","2010-04-26","-119.467391","34.391045","75","high","County of Santa Barbara, Agricultural Commission","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","terracina","Euphorbia terracina","2013-12-13","-119.7125","34.456861","15","low","UC/JEPS","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","terracina","Euphorbia terracina","2023-05-11","-119.73794","34.41159","90","low","Santa Barbara BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","terracina","Euphorbia terracina","2012-01-01","-120.0625","34.4375","","low","calweedmapper.cal-ipc.org","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","terracina","Euphorbia terracina","2012-01-01","-119.6875","34.4375","164","low","calweedmapper.cal-ipc.org","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
