"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Hesperocnide","tenella","Hesperocnide tenella","2024-04-25","-120.091155","34.002961","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Hesperocnide","tenella","Hesperocnide tenella","2019-06-30","-120.481742","34.664321","16","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Hesperocnide","tenella","Hesperocnide tenella","2019-04-30","-120.394916","34.618978","67","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Hesperocnide","tenella","Hesperocnide tenella","2019-04-30","-120.260811","34.798088","349","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Hesperocnide","tenella","Hesperocnide tenella","2019-04-04","-120.479573","34.68449","39","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Hesperocnide","tenella","Hesperocnide tenella","2019-03-26","-120.469918","34.678571","38","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Hesperocnide","tenella","Hesperocnide tenella","2019-03-24","-120.424829","34.636258","51","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Hesperocnide","tenella","Hesperocnide tenella","2019-03-17","-120.394584","34.707792","219","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Hesperocnide","tenella","Hesperocnide tenella","2019-02-04","-120.58863","34.685708","12","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Hesperocnide","tenella","Hesperocnide tenella","2017-11-07","-120.62601","34.911045","283","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Hesperocnide","tenella","Hesperocnide tenella","2017-05-06","-120.425219","34.69901","110","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Hesperocnide","tenella","Hesperocnide tenella","2017-04-19","-120.469379","34.680467","35","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Hesperocnide","tenella","Hesperocnide tenella","2011-04-01","-119.975689","34.578773","255","high","<img src=http://waltony.homeip.net/BTLogoLBlkBgrnd.gif width=80> BotanicalTech.com","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Hesperocnide","tenella","Hesperocnide tenella","1984-01-01","-120.41667","34.65","80","low","G.F. Hrusa checklists","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Hesperocnide","tenella","Hesperocnide tenella","1993-04-23","-120.5719","34.7731","","low","SDNHM","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Hesperocnide","tenella","Hesperocnide tenella","1987-03-26","-120.588025","34.802771","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Hesperocnide","tenella","Hesperocnide tenella","1986-05-04","-120.474489","34.73082","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Hesperocnide","tenella","Hesperocnide tenella","1983-04-02","-120.42126","34.670508","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
