"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Oxalis","pes-caprae","Oxalis pes-caprae","2025-01-29","-119.850236","34.442795","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Oxalis","pes-caprae","Oxalis pes-caprae","2025-01-22","-119.715823","34.440707","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Oxalis","pes-caprae","Oxalis pes-caprae","2025-01-11","-119.885269","34.423187","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Oxalis","pes-caprae","Oxalis pes-caprae","2025-01-11","-119.890525","34.424575","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Oxalis","pes-caprae","Oxalis pes-caprae","2024-12-02","-119.704987","34.40452","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Oxalis","pes-caprae","Oxalis pes-caprae","2024-11-24","-119.656975","34.417708","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Oxalis","pes-caprae","Oxalis pes-caprae","2024-02-20","-120.338048","34.843035","","medium","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Oxalis","pes-caprae","Oxalis pes-caprae","2023-05-12","-119.69675","34.44027","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Oxalis","pes-caprae","Oxalis pes-caprae","2023-05-11","-119.6566","34.43447","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Oxalis","pes-caprae","Oxalis pes-caprae","2023-05-10","-119.73955","34.40506","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Oxalis","pes-caprae","Oxalis pes-caprae","2023-05-08","-119.7335","34.41279","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
