"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Ricinus","communis","Ricinus communis","2025-01-27","-120.230173","34.474278","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ricinus","communis","Ricinus communis","2025-01-06","-119.734958","34.399672","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ricinus","communis","Ricinus communis","2025-01-05","-119.512386","34.387814","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ricinus","communis","Ricinus communis","2025-01-04","-119.834904","34.458217","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ricinus","communis","Ricinus communis","2025-01-01","-119.702295","34.400153","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ricinus","communis","Ricinus communis","2024-12-31","-119.638717","34.461828","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ricinus","communis","Ricinus communis","2024-12-27","-119.730987","34.45529","","low","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ricinus","communis","Ricinus communis","2024-12-02","-119.785714","34.431081","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ricinus","communis","Ricinus communis","2024-12-01","-119.700996","34.41151","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ricinus","communis","Ricinus communis","2024-11-30","-119.644489","34.43988","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ricinus","communis","Ricinus communis","2024-11-30","-119.600415","34.420789","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ricinus","communis","Ricinus communis","2024-11-28","-119.802695","34.423511","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ricinus","communis","Ricinus communis","2024-11-28","-119.73185","34.45443","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ricinus","communis","Ricinus communis","2024-11-19","-119.958471","34.448823","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ricinus","communis","Ricinus communis","2024-11-12","-120.230208","34.474553","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ricinus","communis","Ricinus communis","2024-11-09","-119.737185","34.416688","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ricinus","communis","Ricinus communis","2024-11-08","-119.674963","34.442242","","medium","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ricinus","communis","Ricinus communis","2024-11-03","-119.77399","34.462658","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ricinus","communis","Ricinus communis","2024-11-01","-119.774462","34.462608","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ricinus","communis","Ricinus communis","2024-11-01","-119.779525","34.469768","","low","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ricinus","communis","Ricinus communis","2024-11-01","-119.774782","34.469225","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ricinus","communis","Ricinus communis","2024-10-27","-119.640092","34.462975","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Ricinus","communis","Ricinus communis","2024-10-24","-119.698813","34.403863","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
