"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Rumex","conglomeratus","Rumex conglomeratus","2023-05-11","-119.65736","34.43491","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","conglomeratus","Rumex conglomeratus","2023-05-08","-119.73303","34.41248","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","conglomeratus","Rumex conglomeratus","2023-04-25","-119.688","34.44826","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","conglomeratus","Rumex conglomeratus","2019-06-30","-120.475583","34.667469","18","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","conglomeratus","Rumex conglomeratus","2019-06-27","-120.447803","34.672093","24","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","conglomeratus","Rumex conglomeratus","2017-09-17","-120.478949","34.689597","48","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","conglomeratus","Rumex conglomeratus","2017-08-26","-120.423964","34.635811","31","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","conglomeratus","Rumex conglomeratus","2017-08-24","-120.43502","34.653959","32","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","conglomeratus","Rumex conglomeratus","2017-08-13","-120.475975","34.661926","24","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","conglomeratus","Rumex conglomeratus","2017-08-08","-120.468285","34.680687","45","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","conglomeratus","Rumex conglomeratus","2017-08-04","-120.430005","34.689456","79","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","conglomeratus","Rumex conglomeratus","2017-07-22","-120.419061","34.681022","57","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","conglomeratus","Rumex conglomeratus","2017-07-16","-120.457241","34.694306","56","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","conglomeratus","Rumex conglomeratus","2017-07-07","-120.474089","34.702441","85","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","conglomeratus","Rumex conglomeratus","2017-07-02","-120.429447","34.639579","80","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","conglomeratus","Rumex conglomeratus","2017-06-30","-120.430718","34.689616","85","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","conglomeratus","Rumex conglomeratus","2017-06-16","-120.478317","34.690251","48","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","conglomeratus","Rumex conglomeratus","2017-05-16","-120.473193","34.703654","85","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","conglomeratus","Rumex conglomeratus","2017-05-05","-120.486846","34.705121","119","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","conglomeratus","Rumex conglomeratus","1999-06-17","-119.844","34.0403","659","low","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","conglomeratus","Rumex conglomeratus","1985-01-01","-119.5","34.41667","87","low","G.F. Hrusa checklists","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","conglomeratus","Rumex conglomeratus","1984-01-01","-120.41667","34.65","80","low","G.F. Hrusa checklists","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","conglomeratus","Rumex conglomeratus","1983-01-01","-120.33333","34.46667","25","low","G.F. Hrusa checklists","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","conglomeratus","Rumex conglomeratus","1995-06-02","-120.5663","34.81038","","medium","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","conglomeratus","Rumex conglomeratus","1982-07-13","-120.429487","34.678207","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","conglomeratus","Rumex conglomeratus","1993-06-15","-120.5627","34.678","","low","Cal Poly","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","conglomeratus","Rumex conglomeratus","1995-07-05","-120.5547","34.776","","low","Cal Poly","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","conglomeratus","Rumex conglomeratus","1995-05-25","-120.5554","34.6778","","medium","Cal Poly","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","conglomeratus","Rumex conglomeratus","1982-06-08","-119.85365","34.434282","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
