Family,Genus,Species,Taxon,Common Name,Native Status,effectm partm of this plant.,Lifeform,Duration,July High Temp,Dec Low Temp,Temp Range,Lower Elevation,Upper Elevation,Start Bloom Month,End Bloom Month,Calrecnum,Toxic parts,Toxic part 1,Toxic part 2,Toxic part 3,Toxins,Toxin 1,Toxin 2
PINACEAE,Abies,concolor,Abies concolor,White fir,native,NA,Tree,Perennial,94,14,65,55,2720,5,6,3,NA,NA,NA,NA,NA,NA,NA
NYCTAGINACEAE,Abronia,latifolia,Abronia latifolia,Chaparral sand verbena,native,NA,Perennial herb,Perennial,71,40,30,0,250,3,10,13,NA,NA,NA,NA,NA,NA,NA
NYCTAGINACEAE,Abronia,maritima,Abronia maritima,Sticky sand verbena,rare,NA,Perennial herb,Perennial,82,40,38,0,130,2,12,14,NA,NA,NA,NA,NA,NA,NA
NYCTAGINACEAE,Abronia,pogonantha,Abronia pogonantha,Mohave sand verbena,native,NA,Annual herb,Annual,99,30,68,140,2060,4,7,16,NA,NA,NA,NA,NA,NA,NA
NYCTAGINACEAE,Abronia,umbellata,Abronia umbellata,Beach sand verbena,native,NA,Perennial herb,Perennial,77,40,32,0,410,1,12,18,NA,NA,NA,NA,NA,NA,NA
NYCTAGINACEAE,Abronia,umbellata,Abronia umbellata var. umbellata,Beach sand verbena,native,NA,Perennial herb,Perennial,76,44,30,0,80,1,12,10748,NA,NA,NA,NA,NA,NA,NA
MALVACEAE,Abutilon,theophrasti,Abutilon theophrasti,Velvet leaf,non-native,NA,Annual herb,Annual,96,30,62,0,1060,7,9,26,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acacia,baileyana,Acacia baileyana,Cootamundra wattle,non-native invasive,NA,"Tree, Shrub",Perennial,91,38,50,0,1590,2,4,27,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acacia,dealbata,Acacia dealbata,Silver wattle,non-native invasive,NA,"Tree, Shrub",Perennial,95,36,59,0,1310,2,4,29,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acacia,decurrens,Acacia decurrens,Green wattle,non-native,NA,Tree,Perennial,85,38,45,0,1320,2,5,30,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acacia,longifolia,Acacia longifolia,Golden wattle,non-native invasive,NA,Tree,Perennial,88,40,45,0,1080,6,8,34,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acacia,mearnsii,Acacia mearnsii,Black wattle,non-native,NA,"Tree, Shrub",Perennial,91,38,51,25,1450,2,3,35,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acacia,melanoxylon,Acacia melanoxylon,Blackwood acacia,non-native invasive,NA,Tree,Perennial,93,38,55,0,810,2,3,36,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acacia,paradoxa,Acacia paradoxa,Kangaroo thorn,non-native invasive,NA,Shrub,Perennial,77,42,34,0,130,1,3,37,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acacia,pycnantha,Acacia pycnantha,Golden wattle,non-native invasive,NA,"Tree, Shrub",Perennial,85,38,44,0,360,2,2,38,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acacia,redolens,Acacia redolens,Bank catclaw,non-native,NA,"Tree, Shrub",Perennial,92,40,52,0,460,2,5,8999,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acacia,retinodes,Acacia retinodes,Ever blooming acacia,non-native,NA,Tree,Perennial,83,42,40,0,270,2,3,39,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acacia,saligna,Acacia saligna,Orange wattle,non-native invasive,NA,"Tree, Shrub",Perennial,84,42,38,0,1290,3,5,9641,NA,NA,NA,NA,NA,NA,NA
ROSACEAE,Acaena,californica,Acaena californica,California sheepburr,native,NA,Perennial herb,Perennial,84,38,42,5,480,3,5,14543,NA,NA,NA,NA,NA,NA,NA
ROSACEAE,Acaena,novae-zelandiae,Acaena novae-zelandiae,Biddy biddy,non-native invasive,NA,Shrub (stem succulent),Perennial,77,38,38,5,1050,3,5,41,NA,NA,NA,NA,NA,NA,NA
LAMIACEAE,Acanthomintha,obovata,Acanthomintha obovata,Obvate-leafed thorn mint,native,NA,Annual herb,Annual,95,24,65,550,2370,4,7,51,NA,NA,NA,NA,NA,NA,NA
LAMIACEAE,Acanthomintha,obovata,Acanthomintha obovata ssp. cordata,Heart leaved thorn mint,rare,NA,Annual herb,Annual,91,24,65,1400,2220,4,7,52,NA,NA,NA,NA,NA,NA,NA
POLYGONACEAE,Acanthoscyphus,parishii,Acanthoscyphus parishii,Parish's oxytheca,native,NA,Annual herb,Annual,86,24,55,1650,2630,6,8,10749,NA,NA,NA,NA,NA,NA,NA
POLYGONACEAE,Acanthoscyphus,parishii,Acanthoscyphus parishii var. abramsii,Abrams' oxytheca,rare,NA,Annual herb,Annual,84,26,58,2110,2690,6,8,10471,NA,NA,NA,NA,NA,NA,NA
POTTIACEAE,Acaulon,rufescens,Acaulon rufescens,NA,native,NA,Moss,Perennial,NA,NA,NA,NA,NA,NA,NA,13681,NA,NA,NA,NA,NA,NA,NA
SAPINDACEAE,Acer,macrophyllum,Acer macrophyllum,Bigleaf maple,native,NA,Tree,Perennial,96,24,61,0,2100,4,5,59,NA,NA,NA,NA,NA,NA,NA
SAPINDACEAE,Acer,negundo,Acer negundo,Boxelder,native,NA,Tree,Perennial,96,30,59,0,2080,2,3,9644,NA,NA,NA,NA,NA,NA,NA
ASTERACEAE,Achillea,millefolium,Achillea millefolium,Yarrow,native,Do not eat any part of this plant.,Perennial herb,Perennial,96,10,65,-1,3430,4,8,61,NA,NA,NA,NA,NA,NA,NA
ASTERACEAE,Achyrachaena,mollis,Achyrachaena mollis,Blow wives,native,NA,Annual herb,Annual,97,28,62,0,1860,4,5,85,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acmispon,americanus,Acmispon americanus,American bird's foot trefoil,native,NA,Annual herb,Annual,96,18,64,0,2570,4,7,12131,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acmispon,americanus,Acmispon americanus var. americanus,Spanish lotus,native,NA,Annual herb,Annual,96,18,63,0,2570,4,7,11269,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acmispon,argophyllus,Acmispon argophyllus,Silver birds foot trefoil,native,NA,Perennial herb,Perennial,99,24,61,0,2480,4,6,11270,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acmispon,argophyllus,Acmispon argophyllus var. argenteus,Channel islands silver lotus,native,NA,Perennial herb,Perennial,76,48,26,0,460,4,6,11271,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acmispon,argophyllus,Acmispon argophyllus var. argophyllus,Southern california silver lotus,native,NA,Perennial herb,Perennial,97,26,61,230,2380,4,6,11272,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acmispon,argophyllus,Acmispon argophyllus var. niveus,Santa cruz island bird's-foot trefoil,rare,NA,Perennial herb,Perennial,79,42,36,0,560,3,7,11146,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acmispon,brachycarpus,Acmispon brachycarpus,Short podded lotus,native,NA,Annual herb,Annual,97,22,62,0,2410,3,6,11276,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acmispon,decumbens,Acmispon decumbens,Sierra lotus,native,NA,Perennial herb,Perennial,94,18,62,440,2580,5,8,14619,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acmispon,decumbens,Acmispon decumbens var. decumbens,Sierra Nevada lotus,native,NA,Perennial herb,Perennial,97,22,64,960,2450,5,8,14621,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acmispon,dendroideus,Acmispon dendroideus,Island broom,native,NA,Shrub,Perennial,81,44,32,0,390,1,8,11278,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acmispon,dendroideus,Acmispon dendroideus var. dendroideus,Island broom,rare,NA,Shrub,Perennial,81,48,31,0,270,1,8,11149,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acmispon,dendroideus,Acmispon dendroideus var. traskiae,San clemente island lotus,rare,NA,Shrub,Perennial,83,50,33,260,320,2,8,11150,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acmispon,dendroideus,Acmispon dendroideus var. veatchii,San miguel island deerweed,rare,NA,Shrub,Perennial,NA,NA,NA,NA,NA,3,6,11151,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acmispon,glaber,Acmispon glaber,Deerweed,native,NA,Perennial herb,Perennial,100,28,63,0,2380,3,8,11280,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acmispon,glaber,Acmispon glaber var. glaber,Deerweed,native,NA,Perennial herb,Perennial,94,32,59,0,2350,3,7,11282,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acmispon,grandiflorus,Acmispon grandiflorus,Large leaved lotus,native,NA,Perennial herb,Perennial,94,28,60,0,2280,4,7,11283,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acmispon,grandiflorus,Acmispon grandiflorus var. grandiflorus,Chaparral lotus,native,NA,Perennial herb,Perennial,92,28,58,15,2280,4,7,11284,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acmispon,junceus,Acmispon junceus,Rush lotus,native,NA,Perennial herb,Perennial,84,38,46,0,1680,4,7,11289,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acmispon,junceus,Acmispon junceus var. biolettii,Bioletti's rush lotus,native,NA,Perennial herb,Perennial,80,40,40,35,540,4,7,11290,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acmispon,junceus,Acmispon junceus var. junceus,Rush lotus,native,NA,Perennial herb,Perennial,82,38,43,0,610,4,7,11291,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acmispon,maritimus,Acmispon maritimus,Coastal lotus,native,NA,Annual herb,Annual,103,32,63,0,2280,3,6,11292,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acmispon,maritimus,Acmispon maritimus var. maritimus,Coastal lotus,native,NA,Annual herb,Annual,95,32,60,0,2280,3,6,11294,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acmispon,micranthus,Acmispon micranthus,Small flowered lotus,native,NA,Annual herb,Annual,94,32,61,5,2280,3,6,11295,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acmispon,parviflorus,Acmispon parviflorus,Hill lotus,native,NA,Annual herb,Annual,95,26,59,0,2350,3,6,11299,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acmispon,procumbens,Acmispon procumbens,Silky california broom,native,NA,"Perennial herb, Shrub",Perennial,94,22,62,120,2530,4,6,11300,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acmispon,procumbens,Acmispon procumbens var. procumbens,Silky california broom,native,NA,"Perennial herb, Shrub",Perennial,95,28,63,260,2530,4,6,11302,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acmispon,strigosus,Acmispon strigosus,Strigose lotus,native,NA,Annual herb,Annual,104,24,64,0,2310,2,6,11305,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acmispon,tomentosus,Acmispon tomentosus,NA,native,NA,Perennial herb,Perennial,91,32,53,0,2280,3,10,14622,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Acmispon,wrangelianus,Acmispon wrangelianus,Chilean trefoil,native,NA,Annual herb,Annual,96,22,61,0,2310,3,4,11306,NA,NA,NA,NA,NA,NA,NA
ASTERACEAE,Acourtia,microcephala,Acourtia microcephala,Sacapellote,native,NA,Perennial herb,Perennial,95,30,60,0,2080,6,8,91,NA,NA,NA,NA,NA,NA,NA
ROSACEAE,Adenostoma,fasciculatum,Adenostoma fasciculatum,Chamise,native,NA,"Tree, Shrub",Perennial,96,30,63,0,2440,6,8,97,NA,NA,NA,NA,NA,NA,NA
ROSACEAE,Adenostoma,fasciculatum,Adenostoma fasciculatum var. fasciculatum,Chamise,native,NA,"Tree, Shrub",Perennial,94,30,61,15,2170,6,8,9648,NA,NA,NA,NA,NA,NA,NA
ROSACEAE,Adenostoma,fasciculatum,Adenostoma fasciculatum var. prostratum,Prostrate chamise,native,NA,"Tree, Shrub",Perennial,81,46,31,NA,NA,6,8,11309,NA,NA,NA,NA,NA,NA,NA
ROSACEAE,Adenostoma,sparsifolium,Adenostoma sparsifolium,Red shanks,native,NA,Tree,Perennial,96,30,60,60,2120,7,9,99,NA,NA,NA,NA,NA,NA,NA
PTERIDACEAE,Adiantum,aleuticum,Adiantum aleuticum,Five finger fern,native,NA,Fern,Perennial,92,24,60,0,2240,NA,NA,100,NA,NA,NA,NA,NA,NA,NA
PTERIDACEAE,Adiantum,capillus-veneris,Adiantum capillus-veneris,Venus hair,native,NA,Fern,Perennial,103,28,63,0,1970,6,8,101,NA,NA,NA,NA,NA,NA,NA
PTERIDACEAE,Adiantum,jordanii,Adiantum jordanii,Adiantum,native,NA,Fern,Perennial,94,32,59,0,2230,NA,NA,102,NA,NA,NA,NA,NA,NA,NA
POACEAE,Aegilops,cylindrica,Aegilops cylindrica,Jointed goatgrass,non-native invasive,NA,Annual grass,Annual,93,20,64,20,2020,5,7,105,NA,NA,NA,NA,NA,NA,NA
SAPINDACEAE,Aesculus,californica,Aesculus californica,Buckeye,native,"Do not eat the seed, leaf or flower of this plant.",Tree,Perennial,98,30,61,0,2130,5,7,111,NA,NA,NA,NA,NA,NA,NA
LILIACEAE,Agapanthus,praecox,Agapanthus praecox,African lily,non-native,NA,Perennial herb,Perennial,82,40,41,10,210,NA,NA,8629,NA,NA,NA,NA,NA,NA,NA
LAMIACEAE,Agastache,urticifolia,Agastache urticifolia,Horse mint,native,NA,Perennial herb,Perennial,90,14,65,70,2790,5,6,113,NA,NA,NA,NA,NA,NA,NA
AGAVACEAE,Agave,americana,Agave americana,American century plant,non-native,Possible skin irritation from touching the leaf or sap of this plant.<br>Do not eat the leaf or sap of this plant.,Shrub,Perennial,92,38,53,0,1420,NA,NA,9006,"leaf, sap",leaf,sap,NA,"oil, oxalate",oil,oxalate
AGAVACEAE,Agave,americana,Agave americana ssp. americana,American century plant,non-native,Possible skin irritation from touching the leaf or sap of this plant.<br>Do not eat the leaf or sap of this plant.,Shrub,Perennial,84,38,44,0,250,NA,NA,9004,"leaf, sap",leaf,sap,NA,"oil, oxalate",oil,oxalate
ASTERACEAE,Ageratina,adenophora,Ageratina adenophora,Thoroughwort,non-native invasive,NA,Perennial herb,Perennial,90,38,46,-6,1520,4,8,117,NA,NA,NA,NA,NA,NA,NA
ASTERACEAE,Agoseris,apargioides,Agoseris apargioides,Coast dandelion,native,NA,Perennial herb,Perennial,86,38,49,0,740,5,8,121,NA,NA,NA,NA,NA,NA,NA
ASTERACEAE,Agoseris,grandiflora,Agoseris grandiflora,Giant mountain dandelion,native,NA,Perennial herb,Perennial,95,18,63,0,2470,3,5,131,NA,NA,NA,NA,NA,NA,NA
ASTERACEAE,Agoseris,grandiflora,Agoseris grandiflora var. grandiflora,Giant mountain dandelion,native,NA,Perennial herb,Perennial,92,20,60,0,2120,3,5,10490,NA,NA,NA,NA,NA,NA,NA
ASTERACEAE,Agoseris,heterophylla,Agoseris heterophylla,Mountain dandelion,native,NA,Annual herb,Annual,96,18,65,0,2570,4,7,132,NA,NA,NA,NA,NA,NA,NA
ASTERACEAE,Agoseris,heterophylla,Agoseris heterophylla var. cryptopleura,Mountain dandelion,native,NA,Annual herb,Annual,93,32,60,45,1870,4,7,10758,NA,NA,NA,NA,NA,NA,NA
ASTERACEAE,Agoseris,heterophylla,Agoseris heterophylla var. heterophylla,Annual agoseris,native,NA,Annual herb,Annual,93,18,63,25,2530,4,7,9654,NA,NA,NA,NA,NA,NA,NA
ASTERACEAE,Agoseris,retrorsa,Agoseris retrorsa,Spear leaved agoseris,native,NA,Perennial herb,Perennial,96,18,64,200,2900,4,6,133,NA,NA,NA,NA,NA,NA,NA
POACEAE,Agropyron,cristatum,Agropyron cristatum,Crested wheatgrass,non-native,NA,Perennial grass,Perennial,87,14,68,1290,2680,6,8,9008,NA,NA,NA,NA,NA,NA,NA
POACEAE,Agropyron,cristatum,Agropyron cristatum ssp. pectinatum,Crested wheatgrass,non-native,NA,Perennial grass,Perennial,86,14,66,1290,2680,6,8,9007,NA,NA,NA,NA,NA,NA,NA
CARYOPHYLLACEAE,Agrostemma,githago,Agrostemma githago,Common corncockle,non-native,NA,"Annual, Perennial herb",Annual,95,24,64,NA,NA,NA,NA,137,NA,NA,NA,NA,NA,NA,NA
POACEAE,Agrostis,capillaris,Agrostis capillaris,Colonial bentgrass,non-native,NA,Perennial grass,Perennial,89,20,60,0,2200,7,8,140,NA,NA,NA,NA,NA,NA,NA
POACEAE,Agrostis,exarata,Agrostis exarata,Bentgrass,native,NA,Perennial grass,Perennial,95,14,65,0,3020,5,6,143,NA,NA,NA,NA,NA,NA,NA
POACEAE,Agrostis,gigantea,Agrostis gigantea,Creeping bentgras,non-native,NA,Perennial grass,Perennial,89,12,62,0,2630,4,5,145,NA,NA,NA,NA,NA,NA,NA
POACEAE,Agrostis,hooveri,Agrostis hooveri,Hoover's bent grass,rare,NA,Perennial grass,Perennial,80,40,40,65,420,4,7,148,NA,NA,NA,NA,NA,NA,NA
POACEAE,Agrostis,microphylla,Agrostis microphylla,Little leaf bentgrass,native,NA,Annual grass,Annual,94,36,57,20,700,5,7,151,NA,NA,NA,NA,NA,NA,NA
POACEAE,Agrostis,pallens,Agrostis pallens,Diego bent grass,native,NA,Perennial grass,Perennial,90,14,64,0,3020,4,5,153,NA,NA,NA,NA,NA,NA,NA
POACEAE,Agrostis,stolonifera,Agrostis stolonifera,Redtop,non-native invasive,NA,Perennial grass,Perennial,92,14,64,0,2400,7,8,156,NA,NA,NA,NA,NA,NA,NA
POACEAE,Agrostis,tandilensis,Agrostis tandilensis,Kennedy's bentgrass,non-native,NA,Annual grass,Annual,NA,NA,NA,NA,NA,4,5,157,NA,NA,NA,NA,NA,NA,NA
SIMAROUBACEAE,Ailanthus,altissima,Ailanthus altissima,Tree of heaven,non-native invasive,Possible skin irritation from touching the leaf or flower of this plant.,Tree,Perennial,96,28,63,0,2090,5,6,161,"leaf, flower",leaf,flower,NA,NA,NA,NA
POACEAE,Aira,caryophyllea,Aira caryophyllea,Silvery hairgrass,non-native,NA,Annual grass,Annual,97,26,61,0,2070,5,8,162,NA,NA,NA,NA,NA,NA,NA
POACEAE,Aira,elegans,Aira elegans,Elegant hair grass,non-native,NA,Annual grass,Annual,84,38,46,0,1730,4,5,11316,NA,NA,NA,NA,NA,NA,NA
FABACEAE,Albizia,lophantha,Albizia lophantha,Stink bean,non-native invasive,NA,"Tree, Shrub",Perennial,86,40,40,0,1260,5,7,165,NA,NA,NA,NA,NA,NA,NA
MALVACEAE,Alcea,rosea,Alcea rosea,Holly hock,non-native,NA,Perennial herb,Perennial,92,34,57,10,1830,6,8,166,NA,NA,NA,NA,NA,NA,NA
ALISMATACEAE,Alisma,triviale,Alisma triviale,Northern water plantain,native,NA,Perennial herb (aquatic),Perennial,94,24,61,0,2330,7,11,9659,NA,NA,NA,NA,NA,NA,NA
CHENOPODIACEAE,Allenrolfea,occidentalis,Allenrolfea occidentalis,Iodine bush,native,NA,Shrub,Perennial,114,24,74,-85,1330,7,11,171,NA,NA,NA,NA,NA,NA,NA
ALLIACEAE,Allium,amplectens,Allium amplectens,Narrow leaved onion,native,NA,Perennial herb (bulb),Perennial,96,20,62,15,2400,3,7,175,NA,NA,NA,NA,NA,NA,NA
ALLIACEAE,Allium,burlewii,Allium burlewii,Burlew's onion,native,NA,Perennial herb (bulb),Perennial,90,20,58,910,2650,4,7,184,NA,NA,NA,NA,NA,NA,NA
ALLIACEAE,Allium,campanulatum,Allium campanulatum,Dusky onion,native,NA,Perennial herb (bulb),Perennial,94,14,65,390,2870,6,8,185,NA,NA,NA,NA,NA,NA,NA
ALLIACEAE,Allium,cepa,Allium cepa,Garden onion,non-native,NA,Perennial herb (bulb),Perennial,91,34,54,0,90,7,8,8630,NA,NA,NA,NA,NA,NA,NA
ALLIACEAE,Allium,crispum,Allium crispum,Crinkled onion,native,NA,Perennial herb (bulb),Perennial,95,32,61,120,1000,3,6,187,NA,NA,NA,NA,NA,NA,NA
ALLIACEAE,Allium,diabolense,Allium diabolense,Diablo onion,native,NA,Perennial herb (bulb),Perennial,92,32,57,490,1440,4,6,189,NA,NA,NA,NA,NA,NA,NA
ALLIACEAE,Allium,fimbriatum,Allium fimbriatum,Wild onion,native,NA,Perennial herb (bulb),Perennial,99,24,67,210,2570,4,6,192,NA,NA,NA,NA,NA,NA,NA
ALLIACEAE,Allium,fimbriatum,Allium fimbriatum var. fimbriatum,Fringed onion,native,NA,Perennial herb (bulb),Perennial,97,26,65,330,2670,4,6,193,NA,NA,NA,NA,NA,NA,NA
ALLIACEAE,Allium,haematochiton,Allium haematochiton,Red skinned onion,native,NA,Perennial herb (bulb),Perennial,92,38,51,10,1660,3,5,196,NA,NA,NA,NA,NA,NA,NA
ALLIACEAE,Allium,howellii,Allium howellii,Howell's onion,native,NA,Perennial herb (bulb),Perennial,95,24,65,340,1920,4,6,199,NA,NA,NA,NA,NA,NA,NA
ALLIACEAE,Allium,howellii,Allium howellii var. clokeyi,Mt. pinos onion,rare,NA,Perennial herb (bulb),Perennial,90,24,64,1120,2120,4,6,200,NA,NA,NA,NA,NA,NA,NA
ALLIACEAE,Allium,lacunosum,Allium lacunosum,Pitted onion,native,NA,Perennial herb (bulb),Perennial,98,28,64,30,2330,4,6,205,NA,NA,NA,NA,NA,NA,NA
ALLIACEAE,Allium,lacunosum,Allium lacunosum var. lacunosum,Pitted onion,native,NA,Perennial herb (bulb),Perennial,89,38,50,30,2330,4,6,208,NA,NA,NA,NA,NA,NA,NA
ALLIACEAE,Allium,lacunosum,Allium lacunosum var. micranthum,White fringed onion,native,NA,Perennial herb (bulb),Perennial,94,34,61,400,870,4,6,209,NA,NA,NA,NA,NA,NA,NA
ALLIACEAE,Allium,monticola,Allium monticola,San bernardino mountain onion,native,NA,Perennial herb (bulb),Perennial,86,28,56,1670,2300,5,7,212,NA,NA,NA,NA,NA,NA,NA
ALLIACEAE,Allium,neapolitanum,Allium neapolitanum,White garlic,non-native,NA,Perennial herb (bulb),Perennial,92,38,54,0,260,3,4,214,NA,NA,NA,NA,NA,NA,NA
ALLIACEAE,Allium,peninsulare,Allium peninsulare,Mexicali onion,native,NA,Perennial herb (bulb),Perennial,97,28,62,40,2080,5,6,223,NA,NA,NA,NA,NA,NA,NA
ALLIACEAE,Allium,peninsulare,Allium peninsulare var. peninsulare,Mexicali onion,native,NA,Perennial herb (bulb),Perennial,97,28,62,110,1980,5,6,225,NA,NA,NA,NA,NA,NA,NA
ALLIACEAE,Allium,praecox,Allium praecox,Early onion,native,NA,Perennial herb (bulb),Perennial,91,38,50,20,1640,3,5,227,NA,NA,NA,NA,NA,NA,NA
ALLIACEAE,Allium,triquetrum,Allium triquetrum,White flowered onion,non-native,NA,Perennial herb (bulb),Perennial,92,38,55,0,620,3,4,238,NA,NA,NA,NA,NA,NA,NA
POLEMONIACEAE,Allophyllum,divaricatum,Allophyllum divaricatum,Purple false gilia,native,NA,Annual herb,Annual,94,24,61,120,2550,4,6,244,NA,NA,NA,NA,NA,NA,NA
