"Family","Genus","Species","Taxon","Common Name","Native Status","effectm partm of this plant.","Lifeform","Duration","July High Temp","Dec Low Temp","Temp Range","Lower Elevation","Upper Elevation","Start Bloom Month","End Bloom Month","Calrecnum"
"AGAVACEAE","Agave","americana","Agave americana","American century plant","non-native","Possible skin irritation from touching the leaf or sap of this plant.<br>Do not eat the leaf or sap of this plant.","Shrub","Perennial","92","38","53","0","1420","","","9006"
"AGAVACEAE","Agave","americana","Agave americana ssp. americana","American century plant","non-native","Possible skin irritation from touching the leaf or sap of this plant.<br>Do not eat the leaf or sap of this plant.","Shrub","Perennial","84","38","44","0","250","","","9004"
"SIMAROUBACEAE","Ailanthus","altissima","Ailanthus altissima","Tree of heaven","non-native invasive","Possible skin irritation from touching the leaf or flower of this plant.","Tree","Perennial","96","28","63","0","2090","5","6","161"
"ASTERACEAE","Artemisia","biennis","Artemisia biennis","Biennial sagewort","non-native","Possible skin irritation from touching the leaf of this plant.<br>Do not eat the leaf of this plant.","Annual, Perennial herb","Annual","94","22","64","0","1820","9","11","703"
"ASTERACEAE","Artemisia","californica","Artemisia californica","Coastal sage brush","native","Possible skin irritation from touching the leaf of this plant.<br>Do not eat the leaf of this plant.","Shrub","Perennial","96","30","61","0","1640","4","10","705"
"ASTERACEAE","Artemisia","douglasiana","Artemisia douglasiana","California mugwort","native","Possible skin irritation from touching the leaf of this plant.<br>Do not eat the leaf of this plant.","Perennial herb","Perennial","98","14","64","0","2830","5","10","708"
"ASTERACEAE","Artemisia","nesiotica","Artemisia nesiotica","Island sagebrush","rare","Possible skin irritation from touching the leaf of this plant.<br>Do not eat the leaf of this plant.","Shrub","Perennial","71","50","21","0","55","4","9","716"
"ASTERACEAE","Artemisia","tridentata","Artemisia tridentata","Common sagebrush","native","Possible skin irritation from touching the leaf of this plant.<br>Do not eat the leaf of this plant.","Shrub","Perennial","96","12","72","0","3270","7","8","725"
"ASTERACEAE","Artemisia","tridentata","Artemisia tridentata ssp. parishii","Parish's sagebrush","native","Possible skin irritation from touching the leaf of this plant.<br>Do not eat the leaf of this plant.","Shrub","Perennial","96","22","65","1090","2290","7","8","726"
"ASTERACEAE","Artemisia","tridentata","Artemisia tridentata ssp. tridentata","Big sagebrush","native","Possible skin irritation from touching the leaf of this plant.<br>Do not eat the leaf of this plant.","Shrub","Perennial","96","16","68","550","2870","8","9","727"
"ASPARAGACEAE","Asparagus","officinalis","Asparagus officinalis","Garden asparagus","non-native","Possible skin irritation from touching the aboveground parts of this plant.","Perennial herb","Perennial","95","26","63","0","1900","3","9","9707"
"ASPARAGACEAE","Asparagus","officinalis","Asparagus officinalis ssp. officinalis","Asparagus","non-native","Possible skin irritation from touching the aboveground parts of this plant.","Perennial herb","Perennial","93","38","55","0","1190","3","9","756"
"BRASSICACEAE","Brassica","nigra","Brassica nigra","Black mustard","non-native invasive","Possible skin irritation from touching the underground parts or seed of this plant.","Annual herb","Annual","96","10","61","0","2500","4","7","1144"
"RANUNCULACEAE","Clematis","lasiantha","Clematis lasiantha","Pipestem","native","Possible skin irritation from touching any part of this plant.<br>Do not eat any part of this plant.","Perennial herb, Vine","Perennial","96","30","60","0","2030","3","7","2254"
"RANUNCULACEAE","Clematis","ligusticifolia","Clematis ligusticifolia","Creek clematis","native","Possible skin irritation from touching any part of this plant.<br>Do not eat any part of this plant.","Perennial herb, Vine","Perennial","98","20","66","0","2440","6","8","2255"
"RANUNCULACEAE","Clematis","pauciflora","Clematis pauciflora","Virgin's bower","native","Possible skin irritation from touching any part of this plant.<br>Do not eat any part of this plant.","Perennial herb, Vine","Perennial","98","32","59","10","1860","1","6","2256"
"APIACEAE","Daucus","carota","Daucus carota","Queen Anne's lace","non-native","Possible skin irritation from touching the sap of this plant.","Perennial herb","Perennial","94","22","60","0","2280","5","9","2623"
"ASTERACEAE","Dittrichia","graveolens","Dittrichia graveolens","Stinkwort","non-native invasive","Allergic contact dermatitis from touching any part of this plant.","Annual herb","Annual","96","30","60","-7","1450","9","11","8482"
"EUPHORBIACEAE","Euphorbia","albomarginata","Euphorbia albomarginata","Rattlesnake sandmat","native","Skin irritation from touching the sap of this plant.","Perennial herb","Perennial","107","20","72","25","2320","4","11","13185"
"EUPHORBIACEAE","Euphorbia","characias","Euphorbia characias","Albanian spurge","non-native","Skin irritation from touching the sap of this plant.","Perennial herb","Perennial","83","38","44","0","840","","","8556"
"EUPHORBIACEAE","Euphorbia","crenulata","Euphorbia crenulata","Chinesecaps","native","Skin irritation from touching the sap of this plant.","Annual, Perennial herb","Annual","94","20","62","0","2300","5","8","3550"
"EUPHORBIACEAE","Euphorbia","dendroides","Euphorbia dendroides","Tree spurge","non-native","Skin irritation from touching the sap of this plant.","Shrub","Perennial","88","40","44","90","1470","1","12","8558"
"EUPHORBIACEAE","Euphorbia","hypericifolia","Euphorbia hypericifolia","graceful sandmat","non-native","Skin irritation from touching the sap of this plant.","Annual herb","Annual","106","38","64","5","1390","8","9","13383"
"EUPHORBIACEAE","Euphorbia","lathyris","Euphorbia lathyris","Gopher plant","non-native invasive","Skin irritation from touching the sap of this plant.","Annual, Perennial herb","Annual","92","32","58","0","1480","6","7","3557"
"EUPHORBIACEAE","Euphorbia","maculata","Euphorbia maculata","Spotted spurge","non-native","Skin irritation from touching the sap of this plant.","Annual herb","Annual","105","22","63","-1","2150","6","8","13188"
"EUPHORBIACEAE","Euphorbia","misera","Euphorbia misera","Cliff spurge","rare","Skin irritation from touching the sap of this plant.","Shrub","Perennial","78","44","34","0","90","12","8","3558"
"EUPHORBIACEAE","Euphorbia","nutans","Euphorbia nutans","Eyebane spurge","non-native","Skin irritation from touching the sap of this plant.","Annual herb","Annual","96","30","61","0","1380","4","10","13191"
"EUPHORBIACEAE","Euphorbia","oblongata","Euphorbia oblongata","Eggleaf spurge","non-native invasive","Skin irritation from touching the sap of this plant.","Perennial herb","Perennial","94","30","59","0","1600","3","8","3559"
"EUPHORBIACEAE","Euphorbia","ocellata","Euphorbia ocellata","Contura creek spurge","native","Skin irritation from touching the sap of this plant.","Annual herb","Annual","100","30","64","15","1420","5","10","13192"
"EUPHORBIACEAE","Euphorbia","peplus","Euphorbia peplus","Petty spurge","non-native","Skin irritation from touching the sap of this plant.","Annual herb","Annual","93","34","57","0","1380","2","8","3561"
"EUPHORBIACEAE","Euphorbia","prostrata","Euphorbia prostrata","Prostrate sandmat","non-native","Skin irritation from touching the sap of this plant.","Annual herb","Annual","93","34","56","5","2280","8","9","13198"
"EUPHORBIACEAE","Euphorbia","serpens","Euphorbia serpens","Matted sandmat","non-native","Skin irritation from touching the sap of this plant.","Annual herb","Annual","93","34","55","0","1670","6","9","13199"
"EUPHORBIACEAE","Euphorbia","serpillifolia","Euphorbia serpillifolia","Thyme-leafed spurge","native","Skin irritation from touching the sap of this plant.","Annual herb","Annual","95","18","64","0","2280","6","8","13200"
"EUPHORBIACEAE","Euphorbia","serpillifolia","Euphorbia serpillifolia ssp. serpillifolia","Thyme leafed spurge","native","Skin irritation from touching the sap of this plant.","Annual, Perennial herb","Annual","95","18","65","0","2280","6","8","13202"
"EUPHORBIACEAE","Euphorbia","spathulata","Euphorbia spathulata","Reticulate seeded spurge","native","Skin irritation from touching the sap of this plant.","Annual herb","Annual","94","20","63","0","1700","3","5","3563"
"EUPHORBIACEAE","Euphorbia","terracina","Euphorbia terracina","Geraldton carnation weed","non-native invasive","Skin irritation from touching the sap of this plant.","Perennial herb","Perennial","89","40","46","0","890","3","7","8565"
"EUPHORBIACEAE","Euphorbia","virgata","Euphorbia virgata","Leafy spurge","non-native invasive","Skin irritation from touching the sap of this plant.","Perennial herb","Perennial","94","22","63","25","1740","5","8","11684"
"MORACEAE","Ficus","carica","Ficus carica","Common fig","non-native invasive","Possible skin irritation from touching the sap of this plant.<br>Do not eat the sap of this plant.","Tree","Perennial","98","32","63","0","1830","3","4","3592"
"MORACEAE","Ficus","palmata","Ficus palmata","Punjab fig","non-native","Possible skin irritation from touching the sap of this plant.<br>Do not eat the sap of this plant.","Shrub","Perennial","","","","","","","","8653"
"GINKGOACEAE","Ginkgo","biloba","Ginkgo biloba","Ginkgo","non-native","Possible skin irritation from touching the fruit of this plant.","Tree","Perennial","92","36","54","5","1360","","","9340"
"ARALIACEAE","Hedera","helix","Hedera helix","English ivy","non-native invasive","Possible skin irritation from touching the fruit or leaf of this plant.<br>Do not eat the fruit or leaf of this plant.","Vine, Shrub","Perennial","94","28","59","-1","1950","5","6","4023"
"HYPERICACEAE","Hypericum","perforatum","Hypericum perforatum","Klamathweed","non-native invasive","Possible skin irritation from touching any part of this plant.","Perennial herb","Perennial","96","14","65","0","2330","5","9","4312"
"JUGLANDACEAE","Juglans","californica","Juglans californica","Southern california black walnut","rare","Possible skin irritation from touching the sap of this plant.","Tree","Perennial","93","34","59","5","2200","3","6","4428"
"JUGLANDACEAE","Juglans","hindsii","Juglans hindsii","Northern california black walnut","native","Possible skin irritation from touching the sap of this plant.","Tree","Perennial","97","32","60","0","1730","4","5","8943"
"JUGLANDACEAE","Juglans","regia","Juglans regia","English walnut","non-native","Possible skin irritation from touching the sap of this plant.","Tree","Perennial","96","34","59","0","1760","4","5","4431"
