"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Artemisia","douglasiana","Artemisia douglasiana","2024-11-01","-119.771917","34.467265","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2024-10-26","-119.959258","34.448145","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2024-09-18","-119.7762","34.461005","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2024-09-03","-119.527036","34.398069","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2024-08-28","-119.783272","34.454388","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2024-08-25","-119.690674","34.022049","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2023-08-01","-119.71158","34.40719","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2023-08-01","-119.73539","34.44676","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2023-05-10","-119.74178","34.4044","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2023-05-08","-119.73264","34.41233","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2023-04-25","-119.6873","34.44949","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2022-03-24","-119.8034","34.0169","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2021-04-06","-119.527511","34.396614","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2019-10-23","-120.42519","34.85169","135","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2019-10-14","-119.8481","34.407923","19","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2019-09-03","-119.68312","34.017608","5","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2019-07-28","-120.220825","34.617523","90","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2019-06-30","-120.486452","34.66575","16","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2019-06-24","-119.686714","34.448833","201","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2019-05-15","-119.955286","34.550232","400","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2019-05-10","-120.050699","34.007972","8","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2019-04-22","-120.428829","34.856341","122","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2019-04-20","-120.300497","34.603476","109","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2019-03-17","-120.140847","34.484031","40","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2019-03-11","-119.727128","34.431387","46","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2018-11-23","-120.023758","34.459213","9","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2018-08-25","-120.086354","34.733073","358","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2018-03-05","-119.519","34.419","92","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2018-01-13","-119.730483","34.455292","134","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-10-30","-119.959245","34.551509","426","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-10-30","-120.144989","34.585529","120","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-10-10","-120.028376","34.587847","158","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-10-07","-119.528387","34.39611","2","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-09-26","-120.424967","34.763257","100","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-09-26","-120.393999","34.759031","112","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-09-26","-120.370073","34.75524","123","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-09-13","-120.27875","34.73498","94","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-09-09","-120.470125","34.592761","134","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-09-05","-119.527649","34.398436","3","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-09-03","-120.422183","34.621695","48","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-08-26","-120.424447","34.635925","31","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-08-20","-120.553681","34.676209","14","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-08-20","-120.493219","34.672014","19","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-08-19","-120.457135","34.667755","27","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-08-16","-120.459267","34.667589","25","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-08-16","-120.477126","34.666036","21","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-08-13","-120.480189","34.663318","24","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-08-09","-120.484467","34.722441","94","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-08-06","-120.457181","34.693871","56","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-08-04","-120.425863","34.684745","71","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-08-01","-120.44886","34.70393","110","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-07-22","-120.417935","34.680634","60","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-07-17","-120.429718","34.702771","105","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-07-17","-120.442952","34.70503","118","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-07-16","-120.455492","34.696567","66","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-07-07","-120.47351","34.701788","83","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-07-03","-120.430487","34.641787","34","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-07-02","-120.405602","34.70683","197","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-06-30","-120.431206","34.689834","85","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-06-29","-120.481385","34.726233","113","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-06-24","-120.419469","34.672301","53","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-06-24","-120.419592","34.67212","53","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-06-23","-120.411594","34.671881","96","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-06-12","-120.421969","34.680114","65","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-06-12","-120.423696","34.68141","66","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-05-17","-120.455668","34.698639","71","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-05-16","-119.879458","34.422273","6","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-05-10","-120.479207","34.726544","104","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-05-06","-120.42581","34.69871","110","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","douglasiana","Artemisia douglasiana","2017-04-28","-119.877513","34.410755","7","medium","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
