"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Dittrichia","graveolens","Dittrichia graveolens","2024-08-23","-119.591854","34.417939","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Dittrichia","graveolens","Dittrichia graveolens","2024-08-04","-119.504153","34.385536","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Dittrichia","graveolens","Dittrichia graveolens","2023-10-08","-119.846097","34.439212","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Dittrichia","graveolens","Dittrichia graveolens","2020-10-07","-119.506072","34.385903","21","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Dittrichia","graveolens","Dittrichia graveolens","2020-09-16","-119.504499","34.385451","21","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Dittrichia","graveolens","Dittrichia graveolens","2020-09-16","-119.504557","34.385443","21","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Dittrichia","graveolens","Dittrichia graveolens","2020-09-16","-119.503723","34.385616","21","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Dittrichia","graveolens","Dittrichia graveolens","2019-10-05","-119.504633","34.385674","17","medium","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Dittrichia","graveolens","Dittrichia graveolens","2019-09-24","-120.335712","34.83966","259","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Dittrichia","graveolens","Dittrichia graveolens","2019-08-14","-119.880408","34.419095","2","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Dittrichia","graveolens","Dittrichia graveolens","2019-06-18","-119.880272","34.419071","8","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Dittrichia","graveolens","Dittrichia graveolens","2006-10-14","-120.058334","34.46139","13","low","UC/JEPS","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
