"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Juglans","regia","Juglans regia","2023-05-10","-119.73968","34.40466","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","regia","Juglans regia","2017-11-02","-120.394213","34.637463","53","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","regia","Juglans regia","2017-10-14","-120.427011","34.685027","71","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","regia","Juglans regia","2017-10-10","-120.192468","34.544192","196","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","regia","Juglans regia","2017-10-10","-120.176396","34.535067","231","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","regia","Juglans regia","2017-09-21","-120.458061","34.631513","74","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","regia","Juglans regia","2017-09-17","-120.287483","34.689545","258","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","regia","Juglans regia","2017-09-12","-120.376768","34.756625","94","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","regia","Juglans regia","2017-09-12","-120.279452","34.742788","94","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","regia","Juglans regia","2017-09-12","-120.279576","34.741272","94","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","regia","Juglans regia","2017-09-03","-120.227015","34.610904","103","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","regia","Juglans regia","2017-09-02","-120.356169","34.607672","69","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","regia","Juglans regia","2017-08-30","-120.470753","34.670734","22","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","regia","Juglans regia","2017-08-30","-120.43951","34.671333","35","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","regia","Juglans regia","2017-08-30","-120.425456","34.656949","36","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","regia","Juglans regia","2017-08-23","-120.419584","34.672089","53","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","regia","Juglans regia","2017-08-14","-120.48337","34.663093","25","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","regia","Juglans regia","1979-09-28","-119.7147","34.001","61","low","Santa Barbara BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Juglans","regia","Juglans regia","1990-05-31","-119.67472","33.98873","128","medium","Cal BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Juglans","regia","Juglans regia","1990-05-31","-119.6918","33.9918","","medium","Santa Barbara BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Juglans","regia","Juglans regia","2005-01-01","-120.419082","34.68284","80","low","Elihu Gevirtz http://www.elihugevirtz.com/","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","regia","Juglans regia","2023-03-01","-120.45556","34.493616","","medium","TNC","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
