"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Lobelia","dunnii","Lobelia dunnii var. serrata","2018-07-18","-119.93118","34.76714","590","low","Santa Barbara BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Lobelia","dunnii","Lobelia dunnii var. serrata","2018-07-16","-119.93517","34.76828","559","low","Santa Barbara BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Lobelia","dunnii","Lobelia dunnii var. serrata","1987-06-27","-119.683333","34.483333","","low","UC Davis","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Lobelia","dunnii","Lobelia dunnii var. serrata","2021-08-13","-119.76946","34.56121","383","low","Santa Barbara BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Lobelia","dunnii","Lobelia dunnii var. serrata","1977-08-27","-119.671","34.4567","","medium","Santa Barbara BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Lobelia","dunnii","Lobelia dunnii var. serrata","2018-08-01","-119.704582","34.467864","","low","Santa Barbara BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Lobelia","dunnii","Lobelia dunnii var. serrata","2018-07-20","-119.68665","34.47552","563","low","Santa Barbara BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Lobelia","dunnii","Lobelia dunnii var. serrata","2018-07-31","-119.68726","34.46673","419","low","Santa Barbara BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Lobelia","dunnii","Lobelia dunnii var. serrata","2018-07-31","-119.68801","34.46413","357","low","Santa Barbara BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Lobelia","dunnii","Lobelia dunnii var. serrata","2018-08-01","-119.7084","34.47072","363","low","Santa Barbara BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Lobelia","dunnii","Lobelia dunnii var. serrata","2015-11-05","-120.0416","34.69273","330","low","Sedgwick Reserve, University of California Natural Reserve System","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
