"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Oxalis","corniculata","Oxalis corniculata","2024-06-14","-120.485008","34.70364","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Oxalis","corniculata","Oxalis corniculata","2024-06-14","-120.468544","34.699293","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Oxalis","corniculata","Oxalis corniculata","2024-06-14","-120.472166","34.658634","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Oxalis","corniculata","Oxalis corniculata","2024-05-20","-120.442731","34.714484","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Oxalis","corniculata","Oxalis corniculata","2023-05-11","-119.73726","34.40229","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Oxalis","corniculata","Oxalis corniculata","2019-10-12","-119.843459","34.412315","15","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Oxalis","corniculata","Oxalis corniculata","2017-09-13","-120.2781","34.737547","94","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Oxalis","corniculata","Oxalis corniculata","2017-09-09","-120.468419","34.593534","170","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Oxalis","corniculata","Oxalis corniculata","1995-03-16","-120.5205","34.7504","","medium","Cal Poly","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Oxalis","corniculata","Oxalis corniculata","1987-01-01","-119.865507","34.415932","","medium","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Oxalis","corniculata","Oxalis corniculata","2019-04-26","-119.866932","34.415464","15","high","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Oxalis","corniculata","Oxalis corniculata","1978-02-11","-119.847642","34.412046","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Oxalis","corniculata","Oxalis corniculata","1980-03-10","-119.690333","34.462457","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Oxalis","corniculata","Oxalis corniculata","1979-08-01","-119.861133","34.417415","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Oxalis","corniculata","Oxalis corniculata","2007-05-21","-119.8686","34.413867","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Oxalis","corniculata","Oxalis corniculata","1992-03-04","-119.8686","34.0229","30","medium","SDNHM","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Oxalis","corniculata","Oxalis corniculata","1992-03-04","-119.87007","34.02182","30","medium","Cal BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Oxalis","corniculata","Oxalis corniculata","1992-03-04","-119.86876","34.02293","","low","Santa Barbara BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Oxalis","corniculata","Oxalis corniculata","1979-05-31","-119.874","34.0228","","low","Santa Barbara BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Oxalis","corniculata","Oxalis corniculata","2007-05-12","-119.709434","34.459012","232","medium","BioBlitz Santa Barbara, Santa Barbara Botanic Garden","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Oxalis","corniculata","Oxalis corniculata","1984-01-01","-120.42006","34.68567","85","medium","California State Parks","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Oxalis","corniculata","Oxalis corniculata","2023-03-01","-120.45556","34.493616","","medium","TNC","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
