"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Rumex","acetosella","Rumex acetosella","2024-09-06","-120.515162","34.580197","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","2023-08-01","-119.71515","34.40847","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","2023-05-11","-119.65892","34.43532","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","2020-04-06","-120.42541","34.85136","137","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","2019-04-22","-120.422229","34.851841","162","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","2019-04-13","-120.476234","34.624604","168","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","2019-03-25","-120.479624","34.68283","34","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","2017-09-20","-120.386606","34.52953","282","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","2017-09-09","-120.519204","34.57605","397","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","2017-08-08","-120.466348","34.681307","44","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","2017-07-30","-120.483499","34.71771","83","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","2017-07-19","-120.463025","34.695528","102","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","2017-07-19","-120.485419","34.696086","108","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","2017-07-16","-120.455464","34.699749","71","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","2017-07-15","-120.428224","34.711093","122","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","2017-06-21","-120.477512","34.709277","116","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","2017-06-07","-120.461987","34.690681","77","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","2017-06-04","-120.485956","34.695901","108","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","2017-06-04","-120.434116","34.709846","150","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","2017-05-17","-120.455389","34.700262","75","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","2017-05-10","-120.480146","34.729069","102","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","2017-05-09","-120.459396","34.719568","143","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","2017-05-07","-120.431271","34.694521","90","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","2017-05-05","-120.488337","34.701488","116","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","2017-04-16","-120.46114","34.68531","62","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","2006-03-01","-119.91667","34.9","1193","low","G.F. Hrusa checklists","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","1985-01-01","-119.5","34.41667","87","low","G.F. Hrusa checklists","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","1991-05-21","-120.4913","34.8925","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","1993-06-18","-120.487","34.7049","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","1993-04-26","-120.4599","34.9213","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","2001-04-02","-120.4678","34.873233","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","1994-05-24","-120.57606","34.808","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","2018-07-18","-119.93118","34.76714","590","low","Santa Barbara BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","1993-04-23","-120.4587","34.7741","","low","Cal Poly","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","2022-04-13","-119.8481","34.4067","10","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","1987-08-01","-119.848916","34.412652","","medium","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","1987-12-01","-119.865441","34.41602","","medium","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","2013-04-16","-119.882209","34.4187","5","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","1987-05-29","-120.54518","34.559005","","medium","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","1986-03-17","-120.6291","34.5692","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","1986-08-19","-119.861133","34.417415","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","1981-04-30","-119.861133","34.417415","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","1977-01-21","-119.846698","34.412718","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","1980-05-08","-119.861133","34.417415","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","1980-09-26","-119.846698","34.412718","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","1980-05-15","-119.877539","34.412326","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","1992-04-27","-119.861133","34.417415","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","2007-05-21","-119.8686","34.413867","","medium","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","1992-04-11","-120.336637","34.470808","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","1982-02-18","-119.791667","34.416667","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","1981-07-22","-119.791667","34.416667","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","1982-04-21","-119.791667","34.416667","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","acetosella","Rumex acetosella","2022-03-08","-119.76914","34.46354","168","low","Santa Barbara BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
