"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-11","-119.514256","34.87244","800","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-11","-119.513658","34.872278","800","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-11","-119.513553","34.871694","800","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-11","-119.513242","34.871538","800","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-11","-119.512686","34.871271","800","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-11","-119.5118","34.871271","803","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.518633","34.878928","788","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.514942","34.878118","793","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.511938","34.877343","797","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.506917","34.876358","800","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.510479","34.874984","799","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.51417","34.875372","796","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.512582","34.874809","798","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.513826","34.873928","797","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.511037","34.874034","800","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.512281","34.873154","800","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.509792","34.873647","801","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.511509","34.872238","801","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.513655","34.871992","799","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.513526","34.871006","800","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.510908","34.870971","802","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.509621","34.872238","802","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.507604","34.873083","803","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.505544","34.872379","804","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.506531","34.871252","803","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.509106","34.869879","803","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.507132","34.869774","806","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.503698","34.870055","807","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.50417","34.868929","809","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.505715","34.868048","809","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.506788","34.866957","810","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.503183","34.866182","813","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.504986","34.866112","813","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.505587","34.865196","814","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.504514","34.863788","816","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.502926","34.863858","816","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.50314","34.86252","819","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","hymenosepalus","Rumex hymenosepalus","2016-04-04","-119.500952","34.862661","821","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
