"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Apium","graveolens","Apium graveolens","2023-12-18","-119.66613","33.984067","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","2020-08-05","-119.741052","34.418374","26","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","2019-06-06","-120.427688","34.638137","37","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","2017-11-05","-120.501164","34.512123","9","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","2017-10-10","-120.408799","34.589289","75","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","2017-09-26","-120.425214","34.763178","100","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","2017-09-26","-120.394224","34.758872","112","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","2017-09-26","-120.21722","34.814922","223","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","2017-09-14","-120.538387","34.791175","69","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","2017-09-09","-120.470726","34.592404","134","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","2017-08-30","-120.489496","34.668246","22","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","2017-08-13","-120.481093","34.663382","24","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","2017-06-20","-120.601854","34.685681","5","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","2017-06-20","-120.601854","34.685681","5","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","2017-06-20","-120.601854","34.685681","5","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","2017-06-20","-120.601854","34.685681","5","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","2017-06-20","-120.601854","34.685681","5","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","2017-05-10","-120.481583","34.731534","104","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","1985-01-01","-119.5","34.41667","87","low","G.F. Hrusa checklists","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","1983-01-01","-120.33333","34.46667","25","low","G.F. Hrusa checklists","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","1982-05-02","-120.641878","34.905836","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","1979-08-19","-120.44938","34.67465","","medium","Cal BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","1987-07-23","-120.581","34.799","","low","Santa Barbara BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","1991-10-26","-120.4674","34.771","","low","Cal Poly","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","1992-05-02","-120.5917","34.7793","","low","Cal Poly","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","1987-07-23","-120.56889","34.74806","","low","UC Riverside","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","1979-07-13","-119.843152","34.416281","","medium","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","1979-04-09","-119.5343","34.4032","","medium","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","1979-08-16","-119.5307","34.4015","","medium","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","1979-05-29","-119.537093","34.400885","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","1980-08-14","-119.8511","34.4222","","medium","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","1982-09-01","-119.834522","34.45298","37","medium","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","1979-10-14","-120.31","34.4909","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","1981-09-02","-119.795","34.422","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","1979-05-29","-119.5428","34.4053","","medium","Cal BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","1982-01-29","-120.065","34.502","61","low","Santa Barbara BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","1977-03-20","-119.77264","34.46878","152","medium","Santa Barbara BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","1976-09-17","-119.771088","34.016528","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Apium","graveolens","Apium graveolens","2013-09-21","-120.049935","34.016112","","low","Cal BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
