"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Artemisia","tridentata","Artemisia tridentata ssp. tridentata","2020-12-18","-119.447632","34.840982","1006","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","tridentata","Artemisia tridentata ssp. tridentata","2020-12-18","-119.449403","34.841034","992","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","tridentata","Artemisia tridentata ssp. tridentata","2020-12-18","-119.451569","34.840951","979","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","tridentata","Artemisia tridentata ssp. tridentata","2020-12-18","-119.453043","34.840641","969","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","tridentata","Artemisia tridentata ssp. tridentata","2020-12-18","-119.453275","34.839699","973","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","tridentata","Artemisia tridentata ssp. tridentata","2020-12-18","-119.452272","34.840269","973","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","tridentata","Artemisia tridentata ssp. tridentata","2020-12-18","-119.451596","34.83631","972","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","tridentata","Artemisia tridentata ssp. tridentata","2020-12-18","-119.454229","34.837097","955","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","tridentata","Artemisia tridentata ssp. tridentata","2020-12-18","-119.454813","34.836835","957","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","tridentata","Artemisia tridentata ssp. tridentata","2020-12-18","-119.456133","34.837716","945","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Artemisia","tridentata","Artemisia tridentata ssp. tridentata","2020-12-18","-119.457519","34.838125","938","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
