"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Asparagus","officinalis","Asparagus officinalis","2017-06-24","-120.485564","34.717946","75","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Asparagus","officinalis","Asparagus officinalis ssp. officinalis","1985-01-01","-119.5","34.41667","87","low","G.F. Hrusa checklists","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Asparagus","officinalis","Asparagus officinalis","1980-05-08","-119.861133","34.417415","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Asparagus","officinalis","Asparagus officinalis","1980-04-30","-119.861133","34.417415","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Asparagus","officinalis","Asparagus officinalis","1982-04-27","-119.843979","34.420979","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Asparagus","officinalis","Asparagus officinalis","1981-10-16","-119.531647","34.402069","","medium","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Asparagus","officinalis","Asparagus officinalis","1980-05-05","-119.83136","34.50178","","medium","Cal BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Asparagus","officinalis","Asparagus officinalis","1980-05-05","-119.8308","34.5007","","low","Santa Barbara BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Asparagus","officinalis","Asparagus officinalis","1980-05-05","-119.837","34.501","","low","Cal Poly","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Asparagus","officinalis","Asparagus officinalis","2009-01-01","-119.534854","34.399615","5","low","UC Natural Reserve System","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
