"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Brassica","nigra","Brassica nigra","2024-04-18","-120.5899","34.9651","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Brassica","nigra","Brassica nigra","2023-08-01","-119.71128","34.40756","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Brassica","nigra","Brassica nigra","2023-05-12","-119.69637","34.44001","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Brassica","nigra","Brassica nigra","2023-05-10","-119.74272","34.40415","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Brassica","nigra","Brassica nigra","2023-05-08","-119.73309","34.41197","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Brassica","nigra","Brassica nigra","2023-04-25","-119.6879","34.44903","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Brassica","nigra","Brassica nigra","2020-03-26","-119.587152","34.454435","387","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Brassica","nigra","Brassica nigra","2020-02-16","-120.08916","34.46116","24","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Brassica","nigra","Brassica nigra","2020-02-12","-119.729672","34.462004","209","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Brassica","nigra","Brassica nigra","2019-04-22","-120.423327","34.85114","150","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
