"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Clematis","lasiantha","Clematis lasiantha","2024-08-20","-120.5741","34.9777","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","lasiantha","Clematis lasiantha","2024-07-14","-120.412744","34.683042","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","lasiantha","Clematis lasiantha","2024-06-14","-119.957074","34.757715","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","lasiantha","Clematis lasiantha","2024-05-30","-120.0691","35.0885","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","lasiantha","Clematis lasiantha","2023-05-08","-119.73332","34.41202","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","lasiantha","Clematis lasiantha","2023-04-26","-119.68377","34.44689","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","lasiantha","Clematis lasiantha","2021-04-28","-119.867124","34.542688","245","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","lasiantha","Clematis lasiantha","2020-06-04","-119.761379","34.459896","119","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","lasiantha","Clematis lasiantha","2020-05-10","-119.778825","34.5537","520","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","lasiantha","Clematis lasiantha","2020-05-01","-119.898466","34.520804","827","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","lasiantha","Clematis lasiantha","2020-03-26","-119.508242","34.490875","638","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","lasiantha","Clematis lasiantha","2020-03-19","-119.689118","34.473223","524","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","lasiantha","Clematis lasiantha","2019-05-12","-119.955856","34.546617","441","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","lasiantha","Clematis lasiantha","2019-04-23","-119.915642","34.698559","691","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","lasiantha","Clematis lasiantha","2019-04-06","-119.890153","34.751172","681","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","lasiantha","Clematis lasiantha","2017-10-30","-119.959298","34.551403","426","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","lasiantha","Clematis lasiantha","2010-05-01","-120.413858","34.682557","71","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","lasiantha","Clematis lasiantha","2006-03-01","-120.0495","35.0091","819","low","G.F. Hrusa checklists","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
