"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Clematis","ligusticifolia","Clematis ligusticifolia","2023-08-01","-119.73513","34.44692","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2023-05-10","-119.74172","34.4044","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2023-04-27","-119.68203","34.44976","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2021-08-19","-119.769767","34.560947","391","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2020-08-05","-119.739742","34.421046","24","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2020-06-26","-119.754487","33.963087","4","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2019-05-15","-119.95599","34.545759","451","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-11-02","-120.407345","34.634232","78","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-10-10","-120.384944","34.58328","165","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-10-10","-120.194314","34.544079","188","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-10-10","-120.176404","34.535228","231","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-10-10","-120.142874","34.543668","256","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-09-26","-120.241885","34.851495","149","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-09-26","-120.216957","34.814979","223","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-09-20","-120.410258","34.568934","104","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-09-20","-120.456086","34.515777","98","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-09-17","-120.287467","34.677353","233","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-09-09","-120.468285","34.594161","126","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-09-04","-120.587005","34.684149","5","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-09-03","-120.240812","34.612686","89","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-09-03","-120.42213","34.621703","48","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-09-03","-120.145653","34.586852","120","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-09-02","-120.389739","34.617519","62","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-09-02","-120.300078","34.602689","127","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-09-01","-120.535201","34.628299","105","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-08-27","-120.520577","34.678233","15","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-08-27","-120.507907","34.6738","15","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-08-26","-120.424018","34.635784","31","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-08-20","-120.546724","34.677899","14","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-08-19","-120.457269","34.66764","27","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-08-19","-120.444816","34.668431","27","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-08-18","-120.434787","34.650155","31","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-08-17","-120.476852","34.667818","20","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-08-16","-120.457825","34.667443","27","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-08-16","-120.467148","34.66844","25","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-08-16","-120.479604","34.664884","22","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-08-13","-120.482908","34.663345","24","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-08-13","-120.484298","34.663402","25","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-08-12","-120.480162","34.663321","24","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-07-02","-120.432172","34.643816","31","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2017-04-02","-120.444017","34.661843","31","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","2006-03-01","-120.0495","35.0091","819","low","G.F. Hrusa checklists","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","1983-01-01","-120.33333","34.46667","25","low","G.F. Hrusa checklists","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","1995-07-25","-120.636","34.608","","low","Cal Poly","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","1982-04-22","-119.5294","34.3964","","medium","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Clematis","ligusticifolia","Clematis ligusticifolia","1978-11-05","-120.2193","34.502434","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
