"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Euphorbia","lathyris","Euphorbia lathyris","2023-08-01","-119.73472","34.4493","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","lathyris","Euphorbia lathyris","2023-05-11","-119.73472","34.40011","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","lathyris","Euphorbia lathyris","2020-09-19","-119.512515","34.387849","8","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","lathyris","Euphorbia lathyris","2019-11-29","-119.744572","34.404172","10","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","lathyris","Euphorbia lathyris","2019-03-12","-120.31377","34.749463","155","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","lathyris","Euphorbia lathyris","2017-09-27","-120.244989","34.873063","173","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","lathyris","Euphorbia lathyris","2017-08-23","-120.420987","34.670492","42","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","lathyris","Euphorbia lathyris","2017-08-17","-120.477287","34.667416","24","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","lathyris","Euphorbia lathyris","2017-08-13","-120.478467","34.663168","23","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","lathyris","Euphorbia lathyris","2017-07-21","-120.424168","34.684268","72","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","lathyris","Euphorbia lathyris","2017-06-29","-120.473902","34.692536","97","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","lathyris","Euphorbia lathyris","2017-06-23","-120.421293","34.669279","42","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","lathyris","Euphorbia lathyris","2017-06-23","-120.421287","34.669277","42","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","lathyris","Euphorbia lathyris","1985-01-01","-119.5","34.41667","87","low","G.F. Hrusa checklists","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","lathyris","Euphorbia lathyris","1984-01-01","-120.41667","34.65","80","low","G.F. Hrusa checklists","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","lathyris","Euphorbia lathyris","1992-08-27","-120.067","34.662741","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","lathyris","Euphorbia lathyris","1982-07-13","-120.54619","34.60968","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","lathyris","Euphorbia lathyris","2004-11-18","-120.594722","34.686667","11","low","Cal BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","lathyris","Euphorbia lathyris","1993-08-07","-120.5468","34.6796","30","low","Cal Poly","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","lathyris","Euphorbia lathyris","1995-07-05","-120.561","34.6708","","low","Cal Poly","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","lathyris","Euphorbia lathyris","2004-11-18","-120.59472","34.68667","11","low","UC Riverside","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","lathyris","Euphorbia lathyris","1978-05-30","-120.065555","34.505401","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","lathyris","Euphorbia lathyris","1978-03-11","-120.066365","34.501188","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","lathyris","Euphorbia lathyris","1978-02-14","-120.065555","34.505401","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","lathyris","Euphorbia lathyris","1981-04-17","-119.5365","34.4048","","medium","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","lathyris","Euphorbia lathyris","1979-04-09","-119.5343","34.4032","","medium","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","lathyris","Euphorbia lathyris","1982-05-18","-119.795","34.422","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","lathyris","Euphorbia lathyris","1977-03-08","-120.06889","34.46667","15","low","UC Riverside","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","lathyris","Euphorbia lathyris","2004-01-01","-120.441055","34.699636","119","low","Elihu Gevirtz http://www.elihugevirtz.com/","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","lathyris","Euphorbia lathyris","2005-01-01","-120.419082","34.68284","80","low","Elihu Gevirtz http://www.elihugevirtz.com/","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","lathyris","Euphorbia lathyris","1984-01-01","-120.42006","34.68567","85","medium","California State Parks","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
