"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Euphorbia","peplus","Euphorbia peplus","2024-05-22","-120.461345","34.683602","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","peplus","Euphorbia peplus","2023-08-01","-119.71402","34.40798","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","peplus","Euphorbia peplus","2023-08-01","-119.73501","34.44863","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","peplus","Euphorbia peplus","2023-05-12","-119.69568","34.44014","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","peplus","Euphorbia peplus","2023-05-11","-119.65671","34.43459","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","peplus","Euphorbia peplus","2023-05-10","-119.74273","34.40412","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","peplus","Euphorbia peplus","2023-05-09","-119.73713","34.41023","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","peplus","Euphorbia peplus","2023-05-08","-119.73307","34.41248","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","peplus","Euphorbia peplus","2023-04-25","-119.68752","34.4496","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","peplus","Euphorbia peplus","2020-07-09","-119.955276","34.551002","393","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","peplus","Euphorbia peplus","2020-04-01","-119.622091","34.446313","138","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","peplus","Euphorbia peplus","2020-02-07","-120.42913","34.89288","92","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","peplus","Euphorbia peplus","2019-05-06","-119.706628","34.433875","58","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","peplus","Euphorbia peplus","2019-04-28","-120.458109","34.674916","43","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","peplus","Euphorbia peplus","2019-04-20","-120.305171","34.606906","91","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","peplus","Euphorbia peplus","2019-04-06","-120.466174","34.680817","41","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","peplus","Euphorbia peplus","2019-04-04","-120.481935","34.681959","24","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","peplus","Euphorbia peplus","2019-03-24","-120.425025","34.636392","49","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","peplus","Euphorbia peplus","2018-03-04","-119.825128","34.422325","3","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","peplus","Euphorbia peplus","2018-02-20","-120.074074","34.608211","207","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","peplus","Euphorbia peplus","2017-10-30","-120.144915","34.585504","120","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","peplus","Euphorbia peplus","2017-08-19","-120.444403","34.660723","31","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","peplus","Euphorbia peplus","2017-08-13","-120.47771","34.663067","23","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"euphorbia","peplus","euphorbia peplus","2017-06-03","-120.447643","34.717937","163","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","peplus","Euphorbia peplus","2017-05-16","-120.473821","34.703636","85","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","peplus","Euphorbia peplus","2017-05-15","-120.482498","34.711427","120","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","peplus","Euphorbia peplus","1985-01-01","-119.5","34.41667","87","low","G.F. Hrusa checklists","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","peplus","Euphorbia peplus","1984-01-01","-120.41667","34.65","80","low","G.F. Hrusa checklists","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Euphorbia","peplus","Euphorbia peplus","1983-01-01","-120.33333","34.46667","25","low","G.F. Hrusa checklists","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
