"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Juglans","hindsii","Juglans hindsii","2023-05-10","-119.73969","34.40466","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","hindsii","Juglans hindsii","2017-11-05","-120.418654","34.590329","219","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","hindsii","Juglans hindsii","2017-10-30","-119.993448","34.623391","236","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","hindsii","Juglans hindsii","2017-10-29","-120.150862","34.594286","129","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","hindsii","Juglans hindsii","2017-10-14","-120.427344","34.685018","71","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","hindsii","Juglans hindsii","2017-10-10","-120.364398","34.562033","147","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","hindsii","Juglans hindsii","2017-10-10","-120.290744","34.525932","262","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","hindsii","Juglans hindsii","2017-10-10","-120.176496","34.535113","231","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","hindsii","Juglans hindsii","2017-10-10","-120.138524","34.54809","165","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","hindsii","Juglans hindsii","2017-10-10","-120.148936","34.576545","135","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","hindsii","Juglans hindsii","2017-10-10","-120.128449","34.597411","137","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","hindsii","Juglans hindsii","2017-10-10","-120.117812","34.665555","250","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","hindsii","Juglans hindsii","2017-10-10","-120.115478","34.650446","226","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","hindsii","Juglans hindsii","2017-10-10","-120.120751","34.618186","168","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","hindsii","Juglans hindsii","2017-10-06","-120.451162","34.845244","127","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","hindsii","Juglans hindsii","2017-09-27","-120.250812","34.864417","153","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","hindsii","Juglans hindsii","2017-09-27","-120.277226","34.860572","133","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","hindsii","Juglans hindsii","2017-09-26","-120.424914","34.76316","100","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","hindsii","Juglans hindsii","2017-09-26","-120.310636","34.876091","138","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","hindsii","Juglans hindsii","2017-09-26","-120.314788","34.840629","185","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","hindsii","Juglans hindsii","2017-09-26","-120.237733","34.838199","185","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","hindsii","Juglans hindsii","2017-09-26","-120.232894","34.825315","184","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Juglans","hindsii","Juglans hindsii","2017-09-26","-120.197511","34.801999","259","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
