"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Lupinus","hirsutissimus","Lupinus hirsutissimus","2024-12-21","-119.915375","34.708462","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Lupinus","hirsutissimus","Lupinus hirsutissimus","2024-05-10","-120.5794","34.9728","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Lupinus","hirsutissimus","Lupinus hirsutissimus","2024-05-10","-120.5798","34.9726","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Lupinus","hirsutissimus","Lupinus hirsutissimus","2024-05-10","-120.5761","34.9766","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Lupinus","hirsutissimus","Lupinus hirsutissimus","2024-05-10","-120.5761","34.9767","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Lupinus","hirsutissimus","Lupinus hirsutissimus","2024-05-10","-120.6011","34.9692","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Lupinus","hirsutissimus","Lupinus hirsutissimus","2024-04-18","-120.5789","34.9614","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Lupinus","hirsutissimus","Lupinus hirsutissimus","2021-04-10","-119.571075","34.508537","638","medium","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Lupinus","hirsutissimus","Lupinus hirsutissimus","2021-04-03","-119.761367","34.566333","593","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Lupinus","hirsutissimus","Lupinus hirsutissimus","2021-03-22","-120.277603","34.819805","256","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Lupinus","hirsutissimus","Lupinus hirsutissimus","2020-04-18","-119.50747","34.446117","568","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Lupinus","hirsutissimus","Lupinus hirsutissimus","2020-04-01","-119.651405","34.462938","363","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
