"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Oxalis","pilosa","Oxalis pilosa","2023-08-01","-119.71257","34.40837","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Oxalis","pilosa","Oxalis pilosa","2023-08-01","-119.73513","34.44793","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Oxalis","pilosa","Oxalis pilosa","2023-05-12","-119.69724","34.44026","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Oxalis","pilosa","Oxalis pilosa","2023-05-11","-119.65732","34.43491","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Oxalis","pilosa","Oxalis pilosa","2023-05-08","-119.73368","34.41181","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Oxalis","pilosa","Oxalis pilosa","2023-04-25","-119.68801","34.44893","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Oxalis","albicans","Oxalis albicans ssp. pilosa","1979-03-26","-119.771088","34.016528","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Oxalis","albicans","Oxalis albicans ssp. pilosa","1987-03-26","-119.771088","34.016528","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Oxalis","pilosa","Oxalis pilosa","1982-02-13","-120.641878","34.905836","338","low","Cal Poly","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Oxalis","pilosa","Oxalis pilosa","2019-05-10","-120.392835","34.527272","","medium","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Oxalis","pilosa","Oxalis pilosa","1992-03-24","-120.344854","34.476173","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Oxalis","pilosa","Oxalis pilosa","1993-03-06","-120.344854","34.476173","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Oxalis","pilosa","Oxalis pilosa","1992-07-27","-120.344854","34.476173","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Oxalis","pilosa","Oxalis pilosa","1980-05-02","-119.861133","34.417415","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Oxalis","pilosa","Oxalis pilosa","1982-04-05","-119.795","34.422","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
