"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Primula","clevelandii","Primula clevelandii var. insularis","2019-03-30","-120.05894","33.996335","63","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Primula","clevelandii","Primula clevelandii var. insularis","2019-02-12","-120.46761","34.680439","38","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Primula","clevelandii","Primula clevelandii var. insularis","2017-03-26","-120.461183","34.685947","46","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Dodecatheon","clevelandii","Dodecatheon clevelandii ssp. insulare","2009-04-16","-120.422191","34.700258","110","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Dodecatheon","clevelandii","Dodecatheon clevelandii ssp. insulare","2006-03-01","-119.96667","34.78333","525","low","G.F. Hrusa checklists","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Dodecatheon","clevelandii","Dodecatheon clevelandii ssp. insulare","2006-03-01","-119.88333","34.96667","733","low","G.F. Hrusa checklists","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Dodecatheon","clevelandii","Dodecatheon clevelandii ssp. insulare","2006-03-01","-120.08333","35.1","553","low","G.F. Hrusa checklists","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Dodecatheon","clevelandii","Dodecatheon clevelandii ssp. insulare","2000-04-20","-120.101","33.95","419","low","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Dodecatheon","clevelandii","Dodecatheon clevelandii ssp. insulare","1997-04-12","-119.844","34.0403","659","low","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Dodecatheon","clevelandii","Dodecatheon clevelandii ssp. insulare","2002-02-25","-120.07917","35.09306","457","low","UC Riverside","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Dodecatheon","clevelandii","Dodecatheon clevelandii ssp. insulare","1983-05-08","-119.7484","34.842","","low","Santa Barbara BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Dodecatheon","clevelandii","Dodecatheon clevelandii ssp. insulare","2005-03-31","-119.985","34.74333","1372","low","UC Riverside","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Dodecatheon","clevelandii","Dodecatheon clevelandii ssp. insulare","2005-03-14","-120.01333","34.74","905","low","UC Riverside","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Dodecatheon","clevelandii","Dodecatheon clevelandii ssp. insulare","2005-03-14","-120.06333","34.735","488","low","UC Riverside","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Dodecatheon","clevelandii","Dodecatheon clevelandii ssp. insulare","2005-03-13","-120.19833","34.995","402","low","UC Riverside","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Dodecatheon","clevelandii","Dodecatheon clevelandii ssp. insulare","2004-03-20","-119.833111","34.524083","558","low","CSU Northridge","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
