"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Primula","clevelandii","Primula clevelandii","2024-04-25","-120.027681","34.742937","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Primula","clevelandii","Primula clevelandii","2024-04-25","-120.02821","34.742795","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Primula","clevelandii","Primula clevelandii","2024-03-06","-119.768867","34.464397","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Primula","clevelandii","Primula clevelandii var. patula","2023-05-31","-120.152988","34.641259","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Primula","clevelandii","Primula clevelandii","2023-04-25","-119.68673","34.44914","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Primula","clevelandii","Primula clevelandii","2023-02-17","-120.063203","34.736289","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Primula","clevelandii","Primula clevelandii","2021-03-20","-119.692169","34.457517","270","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Primula","clevelandii","Primula clevelandii","2021-03-19","-120.050645","34.689925","373","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Primula","clevelandii","Primula clevelandii var. insularis","2019-03-30","-120.05894","33.996335","63","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Primula","clevelandii","Primula clevelandii","2019-03-29","-120.475818","34.686002","49","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Primula","clevelandii","Primula clevelandii","2019-03-10","-119.999896","34.737282","1012","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Primula","clevelandii","Primula clevelandii","2019-03-04","-120.433716","34.709429","150","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Primula","clevelandii","Primula clevelandii","2019-02-23","-120.080261","34.726243","476","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Primula","clevelandii","Primula clevelandii","2019-02-22","-119.727813","33.99663","76","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Primula","clevelandii","Primula clevelandii var. insularis","2019-02-12","-120.46761","34.680439","38","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Primula","clevelandii","Primula clevelandii","2019-01-12","-119.785538","34.54028","346","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Primula","clevelandii","Primula clevelandii var. insularis","2017-03-26","-120.461183","34.685947","46","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Primula","clevelandii","Primula clevelandii","2017-02-02","-120.043844","34.742915","666","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Dodecatheon","clevelandii","Dodecatheon clevelandii","1999-05-02","-120.05","34.74","600","low","CSU Northridge","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Dodecatheon","clevelandii","Dodecatheon clevelandii","2010-03-13","-120.006","34.735","975","low","CSU Northridge","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Dodecatheon","clevelandii","Dodecatheon clevelandii","1975-03-25","-120.06","34.74","518","low","CSU Northridge","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Dodecatheon","clevelandii","Dodecatheon clevelandii","1976-04-17","-119.984276","34.742964","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Dodecatheon","clevelandii","Dodecatheon clevelandii","1991-03-22","-120.5277","34.768","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
