"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Rumex","fueginus","Rumex fueginus","2019-07-12","-120.443867","34.668315","22","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","fueginus","Rumex fueginus","2019-06-28","-120.475486","34.667478","18","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","fueginus","Rumex fueginus","2017-08-26","-120.415864","34.640157","36","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","fueginus","Rumex fueginus","2017-08-16","-120.472593","34.668132","23","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","fueginus","Rumex fueginus","1981-05-28","-120.637206","34.951034","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","fueginus","Rumex fueginus","1984-10-11","-120.5995","34.6905","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","fueginus","Rumex fueginus","1985-05-10","-120.578981","34.788251","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","fueginus","Rumex fueginus","1984-09-25","-120.4931","34.6719","","medium","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","fueginus","Rumex fueginus","1993-07-05","-120.5468","34.6796","","low","Cal Poly","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","fueginus","Rumex fueginus","1995-07-05","-120.5547","34.776","","low","Cal Poly","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","fueginus","Rumex fueginus","1995-07-05","-120.5554","34.6778","","medium","Cal Poly","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","fueginus","Rumex fueginus","1985-08-24","-119.954767","34.573622","230","medium","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","fueginus","Rumex fueginus","1986-07-10","-119.8437","34.439","","medium","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","fueginus","Rumex fueginus","1981-06-21","-119.935081","34.582137","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","fueginus","Rumex fueginus","1987-07-22","-119.934385","34.584115","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Rumex","fueginus","Rumex fueginus","1995-07-19","-120.4173","34.0521","","low","Santa Barbara BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
