"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Rumex","salicifolius","Rumex salicifolius","2024-04-25","-119.527528","34.396695","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","salicifolius","Rumex salicifolius","2019-07-14","-120.477378","34.625052","156","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","salicifolius","Rumex salicifolius","2019-06-27","-120.445562","34.670133","22","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","salicifolius","Rumex salicifolius","2019-05-05","-120.595732","34.686505","7","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","salicifolius","Rumex salicifolius","2019-04-27","-120.318294","34.835995","205","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","salicifolius","Rumex salicifolius","2019-04-25","-120.436156","34.711393","150","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","salicifolius","Rumex salicifolius","2017-08-27","-120.481396","34.663391","24","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","salicifolius","Rumex salicifolius","2017-08-18","-120.478349","34.66562","21","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","salicifolius","Rumex salicifolius","2017-08-12","-120.431834","34.694454","90","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","salicifolius","Rumex salicifolius","2017-08-09","-120.487388","34.713819","74","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","salicifolius","Rumex salicifolius","2017-08-09","-120.484569","34.722413","94","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Rumex","salicifolius","Rumex salicifolius","2017-08-04","-120.425531","34.683889","71","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
