"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2025-01-23","-120.283233","34.620742","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2025-01-06","-119.696808","34.455903","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2025-01-05","-119.707437","34.456778","","medium","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2025-01-03","-120.022011","34.458895","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2025-01-03","-120.467978","34.717135","","medium","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2024-12-27","-119.722818","34.475489","","medium","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2024-12-02","-119.688872","34.455792","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2024-11-13","-119.748215","34.441479","","low","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2024-10-11","-120.172488","34.52853","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2024-10-04","-119.59051","34.427099","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2024-09-20","-119.80249","34.434258","","low","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2024-09-20","-120.028948","34.461535","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2024-09-13","-119.777924","34.458778","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2024-09-11","-119.711212","34.458613","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2024-09-07","-119.762528","34.460928","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2024-09-07","-119.762076","34.460626","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2024-09-01","-119.787941","34.505089","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2024-08-29","-120.111411","35.101504","","medium","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2024-08-28","-119.785662","34.45397","","low","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2024-08-10","-120.420883","34.852313","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2024-08-10","-119.873322","34.410787","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2024-08-03","-120.498154","34.708801","","low","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2024-07-15","-119.877708","34.408482","","medium","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2024-07-13","-120.051335","34.006988","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2024-07-06","-120.279942","34.736026","","medium","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2024-07-06","-120.281238","34.726371","","medium","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2024-06-29","-120.056061","34.746863","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2023-08-01","-119.71134","34.40902","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2023-08-01","-119.73493","34.44694","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2023-05-12","-119.69754","34.44047","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2023-05-11","-119.65667","34.43458","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2023-05-10","-119.74228","34.40427","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2023-05-08","-119.73354","34.41279","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Toxicodendron","diversilobum","Toxicodendron diversilobum","2023-04-25","-119.68771","34.449","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
