"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Urtica","urens","Urtica urens","2023-05-12","-119.6941","34.43946","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Urtica","urens","Urtica urens","2021-01-10","-119.695533","34.405358","2","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Urtica","urens","Urtica urens","2019-04-22","-120.422666","34.852725","168","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Urtica","urens","Urtica urens","2019-04-08","-119.892325","34.420152","20","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Urtica","urens","Urtica urens","2019-03-23","-120.470508","34.684913","58","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Urtica","urens","Urtica urens","2019-02-25","-120.458958","34.678578","53","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Urtica","urens","Urtica urens","2019-02-23","-120.041306","34.691261","349","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Urtica","urens","Urtica urens","2017-07-11","-120.441946","34.6957","118","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Urtica","urens","Urtica urens","2017-06-23","-120.421266","34.669365","42","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Urtica","urens","Urtica urens","1985-01-01","-119.5","34.41667","87","low","G.F. Hrusa checklists","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Urtica","urens","Urtica urens","1984-01-01","-120.41667","34.65","80","low","G.F. Hrusa checklists","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Urtica","urens","Urtica urens","1983-01-01","-120.33333","34.46667","25","low","G.F. Hrusa checklists","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Urtica","urens","Urtica urens","2011-03-22","-120.56177","34.92213","41","low","UC/JEPS","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Urtica","urens","Urtica urens","2011-03-22","-120.561667","34.922222","41","low","CSU Chico","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Urtica","urens","Urtica urens","2001-04-05","-120.4813","34.878333","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Urtica","urens","Urtica urens","1982-07-13","-120.429487","34.678207","","low","UCSB","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Urtica","urens","Urtica urens","1981-05-05","-120.5987","34.7951","30","medium","Cal BG","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
