"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Zantedeschia","aethiopica","Zantedeschia aethiopica","2024-12-22","-120.151448","34.591336","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Zantedeschia","aethiopica","Zantedeschia aethiopica","2024-12-06","-119.861465","34.415436","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Zantedeschia","aethiopica","Zantedeschia aethiopica","2024-05-02","-119.699495","34.406313","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Zantedeschia","aethiopica","Zantedeschia aethiopica","2024-03-09","-119.668419","34.450203","","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Zantedeschia","aethiopica","Zantedeschia aethiopica","2023-05-11","-119.7369","34.40287","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Zantedeschia","aethiopica","Zantedeschia aethiopica","2019-05-19","-120.661267","34.932033","77","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Zantedeschia","aethiopica","Zantedeschia aethiopica","2019-04-06","-119.847094","34.414821","14","medium","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Zantedeschia","aethiopica","Zantedeschia aethiopica","2017-08-21","-120.470959","34.705107","104","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Zantedeschia","aethiopica","Zantedeschia aethiopica","2006-04-01","-120.460775","34.686579","46","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Zantedeschia","aethiopica","Zantedeschia aethiopica","1995-03-04","-120.5633","34.703","","low","Cal Poly","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
"Zantedeschia","aethiopica","Zantedeschia aethiopica","1990-08-14","-120.666961","34.903178","113","medium","Land Trust of Santa Barbara County; Storrer and Semonsen Environmental Services.","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Zantedeschia","aethiopica","Zantedeschia aethiopica","2012-01-01","-119.8125","34.4375","15","low","calweedmapper.cal-ipc.org","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Zantedeschia","aethiopica","Zantedeschia aethiopica","2012-01-01","-119.8125","34.5625","406","low","calweedmapper.cal-ipc.org","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
